a0,loc0,seed_id,input,observed_sha256,step3f_sha256,passed,reference
2,1,1,line_resistance_u_sha256,54809bb70c6da9943650e10d0e602dba01d26b13a78738483fdffbfa64a848eb,54809bb70c6da9943650e10d0e602dba01d26b13a78738483fdffbfa64a848eb,1,Step-03F accepted random-input identity
2,1,1,road_resistance_u_sha256,0ef90488cc0773898aa410c5f9e94366340e997da1689b056975a1a3c154c711,0ef90488cc0773898aa410c5f9e94366340e997da1689b056975a1a3c154c711,1,Step-03F accepted random-input identity
4,4,1,selected_path_id_sha256,a3d014dc0a3953e14f25fda05c2cf92d0f04702c3ae894e1b280dd1b26c47b09,a3d014dc0a3953e14f25fda05c2cf92d0f04702c3ae894e1b280dd1b26c47b09,1,Step-03F accepted random-input identity
4,4,1,permutation_sha256,a3d014dc0a3953e14f25fda05c2cf92d0f04702c3ae894e1b280dd1b26c47b09,a3d014dc0a3953e14f25fda05c2cf92d0f04702c3ae894e1b280dd1b26c47b09,1,Step-03F accepted random-input identity
4,4,1,line_resistance_u_sha256,5b1cee65427c9f37a273f598faf35940e1fe1bb09b125c4e5e4fa5caaef1529a,5b1cee65427c9f37a273f598faf35940e1fe1bb09b125c4e5e4fa5caaef1529a,1,Step-03F accepted random-input identity
4,4,1,road_resistance_u_sha256,0f6e805b2150fd0433a4a15c30b220e3253afeb1e3328381e99972dc93c6e52d,0f6e805b2150fd0433a4a15c30b220e3253afeb1e3328381e99972dc93c6e52d,1,Step-03F accepted random-input identity
6,7,1,selected_path_id_sha256,b0df3ca940b911aa6a1d35dd452050eba52d7d669ab5157544501b0e07dca653,b0df3ca940b911aa6a1d35dd452050eba52d7d669ab5157544501b0e07dca653,1,Step-03F accepted random-input identity
6,7,1,permutation_sha256,b0df3ca940b911aa6a1d35dd452050eba52d7d669ab5157544501b0e07dca653,b0df3ca940b911aa6a1d35dd452050eba52d7d669ab5157544501b0e07dca653,1,Step-03F accepted random-input identity
6,7,1,line_resistance_u_sha256,d2cf0e54250ccc06c8489fc4ec228f3c37a117bf2dc7f785e8b1a2998e7faeeb,d2cf0e54250ccc06c8489fc4ec228f3c37a117bf2dc7f785e8b1a2998e7faeeb,1,Step-03F accepted random-input identity
6,7,1,road_resistance_u_sha256,f3f40ca42afe62d151bab5610bf2f880ccb3afe4bec7b131414a3f2bfdf71848,f3f40ca42afe62d151bab5610bf2f880ccb3afe4bec7b131414a3f2bfdf71848,1,Step-03F accepted random-input identity
5,4,2,selected_path_id_sha256,4598cdcf54863d05e5426a9f552c0b8475b096218ba787627acdb9141199b98e,4598cdcf54863d05e5426a9f552c0b8475b096218ba787627acdb9141199b98e,1,Step-03F accepted random-input identity
5,4,2,permutation_sha256,4598cdcf54863d05e5426a9f552c0b8475b096218ba787627acdb9141199b98e,4598cdcf54863d05e5426a9f552c0b8475b096218ba787627acdb9141199b98e,1,Step-03F accepted random-input identity
5,4,2,line_resistance_u_sha256,eb827007a165dfd17326c62670398d73d0e0da79530ecd13e23ed72d49c10a6b,eb827007a165dfd17326c62670398d73d0e0da79530ecd13e23ed72d49c10a6b,1,Step-03F accepted random-input identity
5,4,2,road_resistance_u_sha256,5fe84eb5afcda9970e980cc275a5349a821bf9aa69d23ec66a3337b00c784d25,5fe84eb5afcda9970e980cc275a5349a821bf9aa69d23ec66a3337b00c784d25,1,Step-03F accepted random-input identity
2,6,2,selected_path_id_sha256,190236369412fec6d13440224c207737bd15ab12abad437c15eea17fd846de95,190236369412fec6d13440224c207737bd15ab12abad437c15eea17fd846de95,1,Step-03F accepted random-input identity
2,6,2,permutation_sha256,190236369412fec6d13440224c207737bd15ab12abad437c15eea17fd846de95,190236369412fec6d13440224c207737bd15ab12abad437c15eea17fd846de95,1,Step-03F accepted random-input identity
2,6,2,line_resistance_u_sha256,939e6397aaca44902bec18d218d93aae981d1824821f4215e6633dcd8093438c,939e6397aaca44902bec18d218d93aae981d1824821f4215e6633dcd8093438c,1,Step-03F accepted random-input identity
2,6,2,road_resistance_u_sha256,42cf766abfc4a2bf581c4b479137e26edf1ee67f92c3e3c736e8ee07db5608cb,42cf766abfc4a2bf581c4b479137e26edf1ee67f92c3e3c736e8ee07db5608cb,1,Step-03F accepted random-input identity
2,1,2,selected_path_id_sha256,b1c0f39c0825c4f55b0764a592406c7492ed3c49ff5f6d90710ada87ae31f9eb,b1c0f39c0825c4f55b0764a592406c7492ed3c49ff5f6d90710ada87ae31f9eb,1,Step-03F accepted random-input identity
2,1,2,permutation_sha256,b1c0f39c0825c4f55b0764a592406c7492ed3c49ff5f6d90710ada87ae31f9eb,b1c0f39c0825c4f55b0764a592406c7492ed3c49ff5f6d90710ada87ae31f9eb,1,Step-03F accepted random-input identity
2,1,2,line_resistance_u_sha256,f446ab867ace6648214e56673c38c2fe1534de8f8bbe422eb80305480a32de3f,f446ab867ace6648214e56673c38c2fe1534de8f8bbe422eb80305480a32de3f,1,Step-03F accepted random-input identity
2,1,2,road_resistance_u_sha256,ab1639b6279bba43bc20c5df99fe060c809802c88befe9947b2d79fd8c15cc3e,ab1639b6279bba43bc20c5df99fe060c809802c88befe9947b2d79fd8c15cc3e,1,Step-03F accepted random-input identity
4,4,2,selected_path_id_sha256,26a9e3a12f332c91ad72c9072d140ba5e9209588449cb1fc264f5804da613d16,26a9e3a12f332c91ad72c9072d140ba5e9209588449cb1fc264f5804da613d16,1,Step-03F accepted random-input identity
4,4,2,permutation_sha256,26a9e3a12f332c91ad72c9072d140ba5e9209588449cb1fc264f5804da613d16,26a9e3a12f332c91ad72c9072d140ba5e9209588449cb1fc264f5804da613d16,1,Step-03F accepted random-input identity
4,4,2,line_resistance_u_sha256,56617cb2b87c0bebc7b7806b31029ea80f7d2256826aa83b752adff0942129d5,56617cb2b87c0bebc7b7806b31029ea80f7d2256826aa83b752adff0942129d5,1,Step-03F accepted random-input identity
4,4,2,road_resistance_u_sha256,05149608cd63c176b655574b5a1cd1c2c98f7b3ed004816f4713fddfb3c9fd22,05149608cd63c176b655574b5a1cd1c2c98f7b3ed004816f4713fddfb3c9fd22,1,Step-03F accepted random-input identity
6,7,2,selected_path_id_sha256,9d543724fb2dda17f822cdec84ab8b5cee922015f834029edc0a31c6fc3a79b9,9d543724fb2dda17f822cdec84ab8b5cee922015f834029edc0a31c6fc3a79b9,1,Step-03F accepted random-input identity
6,7,2,permutation_sha256,9d543724fb2dda17f822cdec84ab8b5cee922015f834029edc0a31c6fc3a79b9,9d543724fb2dda17f822cdec84ab8b5cee922015f834029edc0a31c6fc3a79b9,1,Step-03F accepted random-input identity
6,7,2,line_resistance_u_sha256,739d424699fc113279983b8ab621877c3b42f3fdc83e6f2b983ac1c3a32f7d3f,739d424699fc113279983b8ab621877c3b42f3fdc83e6f2b983ac1c3a32f7d3f,1,Step-03F accepted random-input identity
6,7,2,road_resistance_u_sha256,80992fa57c9c93fa9da4f4c84e8d940225b36729409e4c5598a676364e7aaddd,80992fa57c9c93fa9da4f4c84e8d940225b36729409e4c5598a676364e7aaddd,1,Step-03F accepted random-input identity
5,4,3,selected_path_id_sha256,c8b9903019ef661fada32121f52df22931ba32540b38c707e8f517602cc35275,c8b9903019ef661fada32121f52df22931ba32540b38c707e8f517602cc35275,1,Step-03F accepted random-input identity
5,4,3,permutation_sha256,c8b9903019ef661fada32121f52df22931ba32540b38c707e8f517602cc35275,c8b9903019ef661fada32121f52df22931ba32540b38c707e8f517602cc35275,1,Step-03F accepted random-input identity
5,4,3,line_resistance_u_sha256,0241c57762e6c12d10e24d1e92f2e26d25354779643d72bf5d5f14877e008846,0241c57762e6c12d10e24d1e92f2e26d25354779643d72bf5d5f14877e008846,1,Step-03F accepted random-input identity
5,4,3,road_resistance_u_sha256,9f8dd4f581f6e129054b15c06b5540bc807d98e2dfb94c0601cb7f3752cfe665,9f8dd4f581f6e129054b15c06b5540bc807d98e2dfb94c0601cb7f3752cfe665,1,Step-03F accepted random-input identity
2,6,3,selected_path_id_sha256,33213df3a68f8da5b231dbfbff630db75cfdb02f6393e99a782ca765d994319d,33213df3a68f8da5b231dbfbff630db75cfdb02f6393e99a782ca765d994319d,1,Step-03F accepted random-input identity
2,6,3,permutation_sha256,33213df3a68f8da5b231dbfbff630db75cfdb02f6393e99a782ca765d994319d,33213df3a68f8da5b231dbfbff630db75cfdb02f6393e99a782ca765d994319d,1,Step-03F accepted random-input identity
2,6,3,line_resistance_u_sha256,f601140945f382cbd9220c0429029492e49cff8bb2cf80e628380d5f444880f2,f601140945f382cbd9220c0429029492e49cff8bb2cf80e628380d5f444880f2,1,Step-03F accepted random-input identity
2,6,3,road_resistance_u_sha256,5561396e82e7ec433b33fffa316627073c3ba7190f72f01af42dcc7e7cd5924f,5561396e82e7ec433b33fffa316627073c3ba7190f72f01af42dcc7e7cd5924f,1,Step-03F accepted random-input identity
2,1,3,selected_path_id_sha256,bc96d4107ce6aab6534ad575e29663e80b026323682e46117091102c4fe82a04,bc96d4107ce6aab6534ad575e29663e80b026323682e46117091102c4fe82a04,1,Step-03F accepted random-input identity
2,1,3,permutation_sha256,bc96d4107ce6aab6534ad575e29663e80b026323682e46117091102c4fe82a04,bc96d4107ce6aab6534ad575e29663e80b026323682e46117091102c4fe82a04,1,Step-03F accepted random-input identity
2,1,3,line_resistance_u_sha256,e143f952c93c3832b0ee54c6dd41f1befd8a729c953567d348e217fb2ffb6d46,e143f952c93c3832b0ee54c6dd41f1befd8a729c953567d348e217fb2ffb6d46,1,Step-03F accepted random-input identity
2,1,3,road_resistance_u_sha256,5540667a9549e8b3658e5f75ad0b87c1d4de742fcea31cc814d652b4b83a3120,5540667a9549e8b3658e5f75ad0b87c1d4de742fcea31cc814d652b4b83a3120,1,Step-03F accepted random-input identity
4,4,3,selected_path_id_sha256,e81214ff53d93439b424505edbc92b92d77c6b3905ef671509883f1604c4ae24,e81214ff53d93439b424505edbc92b92d77c6b3905ef671509883f1604c4ae24,1,Step-03F accepted random-input identity
4,4,3,permutation_sha256,e81214ff53d93439b424505edbc92b92d77c6b3905ef671509883f1604c4ae24,e81214ff53d93439b424505edbc92b92d77c6b3905ef671509883f1604c4ae24,1,Step-03F accepted random-input identity
4,4,3,line_resistance_u_sha256,254c96e18dac5ab3fd5a48d4edc90692ae3a9dcb4e5bc63fe580f84aca794eed,254c96e18dac5ab3fd5a48d4edc90692ae3a9dcb4e5bc63fe580f84aca794eed,1,Step-03F accepted random-input identity
4,4,3,road_resistance_u_sha256,1f1f507e9743bad2acbeff2d04d7d9e91a4594f71c3f7f72809e7a30e0b48df8,1f1f507e9743bad2acbeff2d04d7d9e91a4594f71c3f7f72809e7a30e0b48df8,1,Step-03F accepted random-input identity
6,7,3,selected_path_id_sha256,343bbdc5e036ad28c036d8966e83203678808af245e3dd8a354a21776c7c5b8d,343bbdc5e036ad28c036d8966e83203678808af245e3dd8a354a21776c7c5b8d,1,Step-03F accepted random-input identity
6,7,3,permutation_sha256,343bbdc5e036ad28c036d8966e83203678808af245e3dd8a354a21776c7c5b8d,343bbdc5e036ad28c036d8966e83203678808af245e3dd8a354a21776c7c5b8d,1,Step-03F accepted random-input identity
6,7,3,line_resistance_u_sha256,d49b0fc4a911e118af56efbe347ff6ecf66f30f51e1264a8a7eb09ea65364d7a,d49b0fc4a911e118af56efbe347ff6ecf66f30f51e1264a8a7eb09ea65364d7a,1,Step-03F accepted random-input identity
6,7,3,road_resistance_u_sha256,4ad4e5bcfb6cefe45e4816362b0c9e115b8856c59e551adb4bcaf548fdfd35bd,4ad4e5bcfb6cefe45e4816362b0c9e115b8856c59e551adb4bcaf548fdfd35bd,1,Step-03F accepted random-input identity
