record_type,N,denominator_all_paths,occurrence_probability,unconditional_mean_kg,shortage_if_positive_kg_mean,shortage_if_positive_kg_median,shortage_if_positive_kg_q25,shortage_if_positive_kg_q75,shortage_if_positive_kg_q90,shortage_if_positive_kg_q95,shortage_if_positive_kg_q99,shortage_if_positive_kg_max,hours_mean,hours_median,hours_q25,hours_q75,hours_q90,hours_q95,hours_q99,hours_max,site,shortage_hour_rows,affected_paths,shortage_kg,stage,global_hour,reached_stage7,terminal_gap_flag,mean_shortage_kg,terminal_a,terminal_loc,arrival_after_stage
by_global_hour,,,,,,,,,,,,,,,,,,,,,,102,33,293.551437373,,41,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,106,34,285.104186331,,42,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,106,33,206.156936787,,43,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,105,33,134.380825069,,44,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,107,34,96.5796378433,,45,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,108,34,61.0778687911,,46,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,108,34,38.158776559,,47,,,,,,
by_global_hour,,,,,,,,,,,,,,,,,,,,,,108,34,41.1646390826,,48,,,,,,
by_terminal_outcome,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,False,27.2890902575,,,
by_terminal_outcome,326,,,,,,,,,,,,,,,,,,,,,,,,,,1,False,32.7082611347,,,
by_terminal_outcome,197,,,,,,,,,,,,,,,,,,,,,,,,,,1,True,43.8900920206,,,
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,2,1,3
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.74863284547,2,1,4
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.8926579181,2,1,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.301202897,2,1,6
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0517582492,2,2,4
by_terminal_state_arrival,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2418380354,2,2,5
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.445880122,2,2,6
by_terminal_state_arrival,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.4773008873,2,3,4
by_terminal_state_arrival,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5034616278,2,3,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,2,3,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0109281376,2,4,4
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6098383139,2,4,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.7817408923,2,4,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,2,5,3
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0646961927,2,5,4
by_terminal_state_arrival,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0850268312,2,5,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.9672790125,2,6,4
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5567219874,2,6,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,2,7,3
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0399118401,2,7,4
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4004734629,2,7,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.226202897,2,7,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0399118401,3,1,3
by_terminal_state_arrival,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.799985649,3,1,4
by_terminal_state_arrival,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.4291562823,3,1,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.226202897,3,1,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,3,2,3
by_terminal_state_arrival,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.8262835284,3,2,4
by_terminal_state_arrival,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.9860858796,3,2,5
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.6660546461,3,2,6
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6867578796,3,3,3
by_terminal_state_arrival,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.8309112107,3,3,4
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.7424569461,3,3,5
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.6900507051,3,3,6
by_terminal_state_arrival,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.106361254,3,4,4
by_terminal_state_arrival,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0340171217,3,4,5
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.216563315,3,4,6
by_terminal_state_arrival,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1004529215,3,5,4
by_terminal_state_arrival,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7449417042,3,5,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,3,5,6
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.8967024263,3,6,3
by_terminal_state_arrival,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.2554611841,3,6,4
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7212480099,3,6,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4761758686,3,6,6
by_terminal_state_arrival,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4440341981,3,7,5
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.6672578517,3,7,6
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,4,1,3
by_terminal_state_arrival,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0302202893,4,1,4
by_terminal_state_arrival,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.0054857732,4,1,5
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7048800479,4,1,6
by_terminal_state_arrival,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.6618229289,4,2,3
by_terminal_state_arrival,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5347344322,4,2,4
by_terminal_state_arrival,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.8161718288,4,2,5
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.7454407131,4,2,6
by_terminal_state_arrival,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.7316724721,4,3,3
by_terminal_state_arrival,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.153432293,4,3,4
by_terminal_state_arrival,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8100181798,4,3,5
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.1640971828,4,3,6
by_terminal_state_arrival,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,4,4,3
by_terminal_state_arrival,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7588285204,4,4,4
by_terminal_state_arrival,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.427379285,4,4,5
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.3454501926,4,4,6
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.6773479012,4,5,3
by_terminal_state_arrival,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.3949324842,4,5,4
by_terminal_state_arrival,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8872995969,4,5,5
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.3110580787,4,5,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,4,6,3
by_terminal_state_arrival,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.4904921932,4,6,4
by_terminal_state_arrival,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6051973401,4,6,5
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.226670901,4,7,3
by_terminal_state_arrival,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5019288077,4,7,4
by_terminal_state_arrival,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8562378927,4,7,5
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.9504954424,4,7,6
by_terminal_state_arrival,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.3746594677,5,1,4
by_terminal_state_arrival,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.1970426492,5,1,5
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0061707639,5,1,6
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,5,2,3
by_terminal_state_arrival,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3318033861,5,2,4
by_terminal_state_arrival,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3345926889,5,2,5
by_terminal_state_arrival,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.3755593006,5,2,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,5,3,3
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.4332114797,5,3,4
by_terminal_state_arrival,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9384551989,5,3,5
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8979243897,5,4,4
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.1774495796,5,4,5
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,5,4,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6878808395,5,5,3
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.3667462677,5,5,4
by_terminal_state_arrival,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.8612932828,5,5,5
by_terminal_state_arrival,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5510487862,5,5,6
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.9007429418,5,6,4
by_terminal_state_arrival,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.722106455,5,6,5
by_terminal_state_arrival,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4273907758,5,6,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,5,7,3
by_terminal_state_arrival,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1713856917,5,7,4
by_terminal_state_arrival,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8681737106,5,7,5
by_terminal_state_arrival,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.6353486434,5,7,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4960659317,6,1,6
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.326778919,6,7,4
by_terminal_state_arrival,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.911993069,6,7,5
