method,branch_index,from_bus,to_bus,observed_hour_records,true_mva_mean,true_mva_q95,true_mva_q99,true_mva_q995,true_mva_max,utilization_mean,utilization_q95,utilization_q99,utilization_q995,utilization_max,unit_note
chi2_eta003,20,20,21,284328,0.159605957366548,0.192205187453796,0.196977156035922,0.196977156035922,0.196977156035922,0.0266009928944249,0.032034197908966,0.032829526005987,0.032829526005987,0.032829526005987,MVA/MVA
chi2_eta003,21,21,22,284328,0.079802978683274,0.0961025937268979,0.098488578017961,0.098488578017961,0.098488578017961,0.0133004964472124,0.016017098954483,0.0164147630029935,0.0164147630029935,0.0164147630029935,MVA/MVA
chi2_eta003,22,3,23,284328,1.06200696787571,1.27265841423622,1.28483099405086,1.30973279717658,1.30973279717658,0.177001161312618,0.212109735706037,0.214138499008477,0.218288799529431,0.218288799529431,MVA/MVA
chi2_eta003,23,23,24,284328,0.979712339483499,1.17477764724455,1.18573102541858,1.20813906484312,1.20813906484312,0.163285389913916,0.195796274540758,0.197621837569763,0.201356510807186,0.201356510807186,MVA/MVA
chi2_eta003,24,24,25,284328,0.376931005474651,0.453918486250611,0.46518813398452,0.46518813398452,0.46518813398452,0.0628218342457753,0.0756530810417686,0.0775313556640867,0.0775313556640867,0.0775313556640867,MVA/MVA
chi2_eta003,25,6,26,284328,1.15361915963737,1.38331284654832,1.39892900069804,1.43087385887086,1.43087385887086,0.192269859939561,0.230552141091386,0.233154833449673,0.238478976478477,0.238478976478477,MVA/MVA
chi2_eta003,26,26,27,284328,1.10411379153783,1.32416572522121,1.33907396598489,1.36957110074651,1.36957110074651,0.184018965256305,0.220694287536868,0.223178994330816,0.228261850124418,0.228261850124418,MVA/MVA
chi2_eta003,27,27,28,284328,1.05491818661337,1.26535635893807,1.27956295806818,1.30862523283024,1.30862523283024,0.175819697768895,0.210892726489678,0.213260493011364,0.218104205471707,0.218104205471707,MVA/MVA
chi2_eta003,28,28,29,284328,1.00894342370446,1.21030713513463,1.22386443880786,1.25159897730863,1.25159897730863,0.168157237284077,0.201717855855772,0.203977406467976,0.208599829551438,0.208599829551438,MVA/MVA
chi2_eta003,29,29,30,284328,0.900781100974119,1.08101019755525,1.09301890490905,1.11758668567588,1.11758668567588,0.150130183495687,0.180168366259209,0.182169817484842,0.186264447612647,0.186264447612647,MVA/MVA
chi2_eta003,30,30,31,284328,0.484498471413003,0.590622714091195,0.596148697261227,0.607453701939498,0.607453701939498,0.0807497452355007,0.0984371190151992,0.0993581162102045,0.101242283656583,0.101242283656583,MVA/MVA
chi2_eta003,31,31,32,284328,0.246435971718612,0.296770076261961,0.304138126514911,0.304138126514911,0.304138126514911,0.0410726619531017,0.0494616793769935,0.0506896877524852,0.0506896877524852,0.0506896877524852,MVA/MVA
chi2_eta003,32,32,33,284328,0.0584298681873203,0.070364063805292,0.0721110255092798,0.0721110255092798,0.0721110255092798,0.00973831136455339,0.0117273439675487,0.0120185042515466,0.0120185042515466,0.0120185042515466,MVA/MVA
