intensity_a,loc,lf,beta_transport_risk,gamma_transport_availability,alpha_loh_activation,is_dissipation_absorbing,is_terminal_absorbing,notes
2,1,2,0.141666666666667,0.858333333333333,0.158333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,1,3,0.233333333333333,0.766666666666667,0.25,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,1,4,0.325,0.675,0.341666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,1,5,0.416666666666667,0.583333333333333,0.433333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,1,6,0.508333333333333,0.491666666666667,0.525,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,1,7,0.6,0.4,0.616666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,1,8,1,0,1,0,1,lf=max：最终登陆/影响确定，终端吸收；不再调拨，只评价 LOH
2,2,1,0.2,0.8,0.191666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,2,2,0.291666666666667,0.708333333333333,0.283333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,2,3,0.383333333333333,0.616666666666667,0.375,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,2,4,0.475,0.525,0.466666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,2,5,0.566666666666667,0.433333333333333,0.558333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,2,6,0.658333333333333,0.341666666666667,0.65,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,2,7,0.75,0.25,0.741666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,2,8,1,0,1,0,1,lf=max：最终登陆/影响确定，终端吸收；不再调拨，只评价 LOH
2,3,1,0.35,0.65,0.316666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,3,2,0.441666666666667,0.558333333333333,0.408333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,3,3,0.533333333333333,0.466666666666667,0.5,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,3,4,0.625,0.375,0.591666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,3,5,0.716666666666667,0.283333333333333,0.683333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,3,6,0.808333333333333,0.191666666666667,0.775,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,3,7,0.9,0.1,0.866666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
2,3,8,1,0,1,0,1,lf=max：最终登陆/影响确定，终端吸收；不再调拨，只评价 LOH
3,1,1,0.1,0.9,0.133333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,1,2,0.191666666666667,0.808333333333333,0.225,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,1,3,0.283333333333333,0.716666666666667,0.316666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,1,4,0.375,0.625,0.408333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,1,5,0.466666666666667,0.533333333333333,0.5,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,1,6,0.558333333333333,0.441666666666667,0.591666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,1,7,0.65,0.35,0.683333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,1,8,1,0,1,0,1,lf=max：最终登陆/影响确定，终端吸收；不再调拨，只评价 LOH
3,2,1,0.25,0.75,0.258333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,2,2,0.341666666666667,0.658333333333333,0.35,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,2,3,0.433333333333333,0.566666666666667,0.441666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,2,4,0.525,0.475,0.533333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,2,5,0.616666666666667,0.383333333333333,0.625,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,2,6,0.708333333333333,0.291666666666667,0.716666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,2,7,0.8,0.2,0.808333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,2,8,1,0,1,0,1,lf=max：最终登陆/影响确定，终端吸收；不再调拨，只评价 LOH
3,3,1,0.4,0.6,0.383333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,3,2,0.491666666666667,0.508333333333333,0.475,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,3,3,0.583333333333333,0.416666666666667,0.566666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,3,4,0.675,0.325,0.658333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,3,5,0.766666666666667,0.233333333333333,0.75,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,3,6,0.858333333333333,0.141666666666667,0.841666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,3,7,0.95,0.05,0.933333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
3,3,8,1,0,1,0,1,lf=max：最终登陆/影响确定，终端吸收；不再调拨，只评价 LOH
4,1,1,0.15,0.85,0.2,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,1,2,0.241666666666667,0.758333333333333,0.291666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,1,3,0.333333333333333,0.666666666666667,0.383333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,1,4,0.425,0.575,0.475,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,1,5,0.516666666666667,0.483333333333333,0.566666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,1,6,0.608333333333333,0.391666666666667,0.658333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,1,7,0.7,0.3,0.75,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,1,8,1,0,1,0,1,lf=max：最终登陆/影响确定，终端吸收；不再调拨，只评价 LOH
4,2,1,0.3,0.7,0.325,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,2,2,0.391666666666667,0.608333333333333,0.416666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,2,3,0.483333333333333,0.516666666666667,0.508333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,2,4,0.575,0.425,0.6,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,2,5,0.666666666666667,0.333333333333333,0.691666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,2,6,0.758333333333333,0.241666666666667,0.783333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,2,7,0.85,0.15,0.875,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,2,8,1,0,1,0,1,lf=max：最终登陆/影响确定，终端吸收；不再调拨，只评价 LOH
4,3,1,0.45,0.55,0.45,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,3,2,0.541666666666667,0.458333333333333,0.541666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,3,3,0.633333333333333,0.366666666666667,0.633333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,3,4,0.725,0.275,0.725,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,3,5,0.816666666666667,0.183333333333333,0.816666666666667,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,3,6,0.908333333333333,0.0916666666666667,0.908333333333333,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,3,7,0.98,0.02,1,0,0,非吸收临灾演化状态：beta 高表示调拨困难，但不代表台风已最终登陆
4,3,8,1,0,1,0,1,lf=max：最终登陆/影响确定，终端吸收；不再调拨，只评价 LOH
