path_id,surplus_bin,final_target_kg,final_inventory_kg,final_surplus_kg,first_positive_inventory_hour,first_25pct_target_hour,first_50pct_target_hour,first_75pct_target_hour,first_100pct_target_hour,stable_100pct_target_hour,arrival_stage,final_intensity,final_location,peak_observed_operating_intensity,max_hypothetical_target_from_observed_operating_states_kg,hypothetical_target_drop_to_final_kg,operating_location_changed,risk_later_weakened_signal,HTT_last24h_kg,mechanism_signal_count,mechanism_signals,interpretation_limit,total_inventory_minus24h_kg,inventory_minus_target_minus24h_kg,production_minus24h_kg,HTT_minus24h_kg,ordinary_shortage_minus24h_kg,storm_intensity_minus24h,storm_location_minus24h,system_electrolyzer_utilization_minus24h,inventory_site1_minus24h_kg,gap_site1_minus24h_kg,inventory_site2_minus24h_kg,gap_site2_minus24h_kg,inventory_site3_minus24h_kg,gap_site3_minus24h_kg,inventory_site4_minus24h_kg,gap_site4_minus24h_kg,total_inventory_minus16h_kg,inventory_minus_target_minus16h_kg,production_minus16h_kg,HTT_minus16h_kg,ordinary_shortage_minus16h_kg,storm_intensity_minus16h,storm_location_minus16h,system_electrolyzer_utilization_minus16h,inventory_site1_minus16h_kg,gap_site1_minus16h_kg,inventory_site2_minus16h_kg,gap_site2_minus16h_kg,inventory_site3_minus16h_kg,gap_site3_minus16h_kg,inventory_site4_minus16h_kg,gap_site4_minus16h_kg,total_inventory_minus8h_kg,inventory_minus_target_minus8h_kg,production_minus8h_kg,HTT_minus8h_kg,ordinary_shortage_minus8h_kg,storm_intensity_minus8h,storm_location_minus8h,system_electrolyzer_utilization_minus8h,inventory_site1_minus8h_kg,gap_site1_minus8h_kg,inventory_site2_minus8h_kg,gap_site2_minus8h_kg,inventory_site3_minus8h_kg,gap_site3_minus8h_kg,inventory_site4_minus8h_kg,gap_site4_minus8h_kg,total_inventory_minus4h_kg,inventory_minus_target_minus4h_kg,production_minus4h_kg,HTT_minus4h_kg,ordinary_shortage_minus4h_kg,storm_intensity_minus4h,storm_location_minus4h,system_electrolyzer_utilization_minus4h,inventory_site1_minus4h_kg,gap_site1_minus4h_kg,inventory_site2_minus4h_kg,gap_site2_minus4h_kg,inventory_site3_minus4h_kg,gap_site3_minus4h_kg,inventory_site4_minus4h_kg,gap_site4_minus4h_kg,total_inventory_t0h_kg,inventory_minus_target_t0h_kg,production_t0h_kg,HTT_t0h_kg,ordinary_shortage_t0h_kg,storm_intensity_t0h,storm_location_t0h,system_electrolyzer_utilization_t0h,inventory_site1_t0h_kg,gap_site1_t0h_kg,inventory_site2_t0h_kg,gap_site2_t0h_kg,inventory_site3_t0h_kg,gap_site3_t0h_kg,inventory_site4_t0h_kg,gap_site4_t0h_kg
193,>200 kg,161.875234945,548.954402626,387.079167681,-39,-39,-39,-39,-39,-39,5,5,7,5,423.861526765,261.98629182,True,True,82.3297699477,4,EARLY_INVENTORY_BUILD_SIGNAL;RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",302.134475204,140.259240259,15.015,0,0,3,2,1,114.332437884,0,81.5037901125,0,47.3229194459,0,58.9753277609,0,371.306343625,209.43110868,15.015,3.47707757168,0,3,2,1,143.444557045,0,100.531060367,0,54.1071453668,0,73.2235808462,0,461.782762489,299.907527544,15.015,0,0,4,4,1,210.802822005,0,89.684239101,0,32.635326759,0,128.660374624,0,508.620485311,346.745250366,15.015,0,3.42107617947,5,6,1,224.78809853,0,109.976023138,0,50.5280498992,0,123.328313744,0,548.954402626,387.079167681,15.015,0,4.49316224172,5,6,1,236.085864272,0,125.576023138,0,59.8880498992,0,127.404465317,0
208,>200 kg,11.1833565999,217.078139024,205.894782424,-39,-39,-39,-39,-39,-39,5,4,7,3,0,-11.1833565999,True,False,12.3557098724,3,EARLY_INVENTORY_BUILD_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",182.014475204,170.831118604,0,0,0,2,6,0,67.5324378844,0,50.3037901125,0,28.6029194459,0,35.5753277609,0,147.633409272,136.450052672,11.115,0,0,2,5,0.74025974026,55.6945570449,0,41.6081379386,0,20.9821334423,0,29.3485808462,0,156.451144954,145.267788354,0,0,0,2,7,0,70.1053559616,0,28.9621752057,0,20.9713053203,0,36.4123084666,0,190.328765329,179.14540873,15.015,0,0,3,6,1,73.0457170413,0,41.3941473677,0,23.3507696308,0,52.5381312895,0,217.078139024,205.894782424,15.015,0,0,3,6,1,84.3434827827,0,47.7705448833,0,28.3498284949,0,56.6142828626,0
213,>200 kg,156.407515605,357.761343625,201.35382802,-47,-47,-47,-47,-47,-24,6,3,3,3,180.565756528,24.1582409231,True,True,35.6359731691,4,EARLY_INVENTORY_BUILD_SIGNAL;RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",163.233409272,6.82589366726,15.015,0,0,2,3,1,61.5445570449,8.81031030891,45.5081379386,0,20.9821334423,1.92924556664,35.1985808462,3.92429149069,227.962481134,71.5549655297,8.775,0,0,2,2,0.584415584416,93.5053559616,0,52.3621752057,0,31.0576415006,0,51.0373084666,0,288.589475204,132.181959599,15.015,0,0,3,5,1,117.832437884,0,68.9037901125,0,40.7029194459,0,61.1503277609,0,310.857726707,154.450211102,13.7224310439,0,0,3,2,0.913914821439,152.192959151,0,54.1718383755,0,28.8537154855,0,75.6392136955,0,357.761343625,201.35382802,15.015,0,0,3,2,1,172.334665312,0,67.9084843383,0,31.8737482264,0,85.6444457484,0
225,50-100 kg,142.923283799,226.379628005,83.4563442058,-47,-47,-47,-47,-47,-25,6,3,1,3,58.1956878969,-84.7275959021,True,False,12.4375930554,3,EARLY_INVENTORY_BUILD_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",157.66551912,14.7422353209,15.015,0,0,2,6,1,55.9766668928,7.84782075124,45.5081379386,0,20.9821334423,0,35.1985808462,19.3523591218,216.700765514,73.7774817154,3.08117453208,0,0,2,4,0.205206429043,82.2436403416,0,52.3621752057,0,31.0576415006,0,51.0373084666,3.51363150142,157.207759584,14.2844757847,0,0,0,2,6,0,59.7707222644,4.05376537962,37.7037901125,0,21.9829194459,0,37.7503277609,16.8006122071,179.476011087,36.5527272882,13.7224310439,0,0,3,5,0.913914821439,70.7918414331,0,34.0338989205,0,23.6920644326,0,50.9582063009,3.59273366715,226.379628005,83.4563442058,15.015,0,0,3,5,1,90.9335475943,0,47.7705448833,0,26.7120971735,0,60.9634383537,0
228,>200 kg,58.1956878969,371.306343625,313.110655728,-23,-23,-23,-23,-23,-23,3,3,5,3,180.836278269,122.640590372,True,True,71.1943562953,4,EARLY_INVENTORY_BUILD_SIGNAL;RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",,,,,,,,,,,,,,,,,241.507481134,183.311793238,8.775,0,0,2,4,0.584415584416,90.0053559616,0,64.9621752057,0,37.6776415006,0,48.8623084666,0,302.134475204,243.938787307,15.015,0,0,3,7,1,114.332437884,0,81.5037901125,0,47.3229194459,0,58.9753277609,0,324.402726707,266.20703881,13.7224310439,0,0,3,4,0.913914821439,128.54445362,0,46.9447312822,0,47.6100350542,0,101.303506751,0,371.306343625,313.110655728,15.015,27.8675956017,0,3,4,1,176.553755383,0,60.681377245,0,22.7624721934,0,111.308738804,0
240,>200 kg,58.1956878969,272.931682662,214.735994765,-39,-39,-39,-39,-39,-39,5,3,5,3,0,-58.1956878969,True,False,12.8668184318,3,EARLY_INVENTORY_BUILD_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",182.014475204,123.818787307,0,0,0,2,6,0,67.5324378844,0,50.3037901125,0,28.6029194459,0,35.5753277609,0,151.533409272,93.3377213752,15.015,0,0,2,7,1,55.6945570449,0,45.5081379386,0,20.9821334423,0,29.3485808462,0,212.304688592,154.109000696,4.3194189061,0,0,2,4,0.28767358682,83.1997748677,0,52.3621752057,0,31.5554300524,0,45.1873084666,0,246.182308968,187.986621071,15.015,0,0,3,7,1,109.095909481,0,53.4022300907,0,32.4599932081,0,51.2241761878,0,272.931682662,214.735994765,15.015,0,0,3,7,1,120.393675222,0,59.7786276062,0,37.4590520722,0,55.3003277609,0
242,>200 kg,180.565756528,395.847409557,215.281653029,-39,-39,-39,-39,-38,-38,5,3,2,3,180.836278269,0.27052174083,True,True,73.9297115305,4,EARLY_INVENTORY_BUILD_SIGNAL;RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",184.939475204,4.37371867585,0,0,0,2,1,0,67.5324378844,16.7483548688,50.3037901125,0,28.6029194459,0,38.5003277609,17.1414398043,254.111343625,73.5455870969,15.015,1.79578761738,0,3,3,1,128.208637054,0,64.1630702566,0,0.345987785532,20.6588129648,61.3936485282,0,335.220415487,154.654658959,15.015,0,0,3,4,1,160.169435971,0,70.4079012673,0,26.7496111048,0,77.893467144,0,369.098035862,188.532279335,15.015,0,0,3,2,1,173.198752153,0,65.9759333692,0,24.5816578929,0,105.341692448,0,395.847409557,215.281653029,15.015,0,0,3,2,1,184.496517894,0,72.3523308847,0,29.580716757,0,109.417844021,0
262,50-100 kg,180.836278269,268.114475204,87.278196935,-39,-39,-39,-39,-38,-13,5,3,4,3,156.407515605,-24.428762664,True,False,24.8010587374,2,LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",182.014475204,1.17819693502,0,0,0,2,6,0,67.5324378844,3.3453016791,50.3037901125,0,28.6029194459,0,35.5753277609,3.70132720443,151.533409272,-29.3028689967,15.015,0,0,2,7,1,55.6945570449,15.1831825186,45.5081379386,2.26240694465,20.9821334423,1.92920541433,29.3485808462,9.92807411909,207.487481134,26.6512028657,0,0,0,2,5,0,81.8053559616,0,52.3621752057,0,31.0576415006,0,42.2623084666,0,241.36510151,60.5288232409,15.015,0,0,3,3,1,94.834672143,0,44.8702538042,2.90029107911,28.5599406372,0,73.1002349252,0,268.114475204,87.278196935,15.015,0,0,3,3,1,106.132437884,0,51.2466513197,0,33.5589995013,0,77.1763864983,0
273,100-200 kg,180.565756528,332.295415487,151.729658959,-31,-31,-31,-31,-30,-30,4,3,2,3,180.565756528,2.84217094304e-13,True,False,35.4399409658,2,LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",241.507481134,60.9417246066,8.775,0,0,2,4,0.584415584416,90.0053559616,0,64.9621752057,0,37.6776415006,0,48.8623084666,6.77945909854,182.014475204,1.44871867585,0,0,0,2,3,0,67.5324378844,16.7483548688,50.3037901125,0,28.6029194459,0,35.5753277609,20.0664398043,251.186343625,70.6205870969,15.015,0,0,3,2,1,96.6445570449,0,72.8081379386,0,31.9100677951,0,49.8235808462,5.81818671891,305.071405215,124.505648687,15.015,0,0,3,2,1,134.388331654,0,86.8553429076,0,23.6078174583,0,60.2199131946,0,332.295415487,151.729658959,15.015,0,0,3,2,1,145.276483313,0,72.5933615912,0,29.994448502,0,84.4311220811,0
277,>200 kg,11.1833565999,513.042409557,501.859052957,-39,-39,-39,-39,-39,-39,5,4,7,4,189.355321264,178.171964664,True,True,83.6647612702,4,EARLY_INVENTORY_BUILD_SIGNAL;RISK_LATER_WEAKENED_SIGNAL;LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",302.134475204,290.951118604,15.015,0,0,3,3,1,114.332437884,0,81.5037901125,0,47.3229194459,0,58.9753277609,0,371.306343625,360.122987025,15.015,0,0,3,2,1,143.444557045,0,104.008137939,0,50.6300677951,0,73.2235808462,0,452.415415487,441.232058887,15.015,0,0,4,6,1,246.275765027,0,104.365992498,0,12.7113494964,0,89.0623084666,0,486.293035862,475.109679263,15.015,0,0,4,7,1,250.511301279,0,110.530637613,0,30.151920783,0,95.0991761878,0,513.042409557,501.859052957,15.015,0,0,4,7,1,261.80906702,0,116.907035128,0,35.1509796471,0,99.1753277609,0
295,0-50 kg,423.861526765,470.103296327,46.2417695616,-31,-31,-28,-14,-5,-5,4,4,4,4,189.355321264,-234.506205501,True,False,40.711452751,2,LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",241.507481134,-182.354045631,8.775,0,0,2,4,0.584415584416,90.0053559616,78.5576244788,64.9621752057,67.5968133612,37.6776415006,3.23554071214,48.8623084666,32.9640670785,302.134475204,-121.727051561,15.015,0,0,3,6,1,114.332437884,54.230542556,81.5037901125,51.0551984544,47.3229194459,0,58.9753277609,22.8510477842,388.994224464,-34.8673023008,15.015,0,0.465470548409,4,7,1,181.415316692,0,101.08566049,31.4733280772,39.6821082751,1.23107393762,66.8111390074,15.0152365378,442.879286054,19.017759289,15.015,0,0,4,6,1,201.480016917,0,122.485244909,10.0737436576,40.6986058389,0.214576373778,78.2154183891,3.610957156,470.103296327,46.2417695616,15.015,12.0682474591,0,4,6,1,200.299921116,0,139.060324667,0,47.0852368826,0,83.6578136612,0
302,50-100 kg,180.836278269,263.817954597,82.9816763286,-31,-31,-31,-31,-30,-6,4,3,4,3,156.407515605,-24.428762664,True,False,19.9702458467,2,LOCATION_CHANGED_SIGNAL;HTT_REALLOCATED_SIGNAL,"Signals are descriptive; final target is an ex-post reference, not proof of contemporaneous policy error",241.507481134,60.6712028657,8.775,0,0,2,4,0.584415584416,90.0053559616,0,64.9621752057,0,37.6776415006,0,48.8623084666,0,182.014475204,1.17819693502,0,0,0,2,3,0,67.5324378844,3.3453016791,50.3037901125,0,28.6029194459,0,35.5753277609,3.70132720443,160.308409272,-20.5278689967,15.015,0,0,2,2,1,61.5445570449,9.33318251864,45.5081379386,2.26240694465,20.9821334423,1.92920541433,32.2735808462,7.00307411909,217.824491256,36.9882129868,15.015,5.2332086751,0.726204078741,3,3,1,103.616825014,0,44.818305736,2.95223914732,24.1178017818,0,45.2715587243,0,263.817954597,82.9816763286,15.015,0,8.00679366486,3,3,1,127.016825014,0,49.3251380341,0,30.5044328255,0,56.9715587243,0
