method,path_id,state,decision_stage,current_k,current_a,current_loc,current_lf,history_node_id,selection_reason,terminal_gap_kg,node_oos_path_count,future_terminal_state_count,realized_terminal_state_probability,conditional_modal_top_site,conditional_modal_top_site_probability,positive_target_modal_top_site,positive_target_modal_top_site_probability,conditional_max_site_target_range_kg,inventory_vs_realized_target_distribution_l1,x1_kg,realized_target_site1_kg,node_conditional_mean_target_site1_kg,x2_kg,realized_target_site2_kg,node_conditional_mean_target_site2_kg,x3_kg,realized_target_site3_kg,node_conditional_mean_target_site3_kg,x4_kg,realized_target_site4_kg,node_conditional_mean_target_site4_kg
chi2_eta003,6876,13,4,108,2,7,4,t4_k108,largest_terminal_gap_distinct_latest_information_node,9.21967365747174,252,16,0.0158730158730159,1,0.523560209424084,1,0.833333333333333,276.300390904299,0.0184077287126564,175.149641055005,183.83696804374,45.0583139457708,84.8393027880036,85.3716494567399,12.1768759446879,17.6070292556379,16.3652799793359,3.76148668626187,73.2235808462428,69.5525548649856,14.1121086351739
saa,6876,13,4,108,2,7,4,t4_k108,largest_terminal_gap_distinct_latest_information_node,9.21967365747174,252,16,0.0158730158730159,1,0.523560209424084,1,0.833333333333333,276.300390904299,0.0790354537962449,150.102137590912,183.83696804374,45.0583139457708,84.5081379386248,85.3716494567399,12.1768759446879,37.7245528962669,16.3652799793359,3.76148668626187,69.8713032773175,69.5525548649856,14.1121086351739
chi2_eta003,2719,14,3,69,2,2,5,t3_k69,largest_terminal_gap_distinct_latest_information_node,51.599374062704,295,17,0.00677966101694915,1,0.857142857142857,1,0.941176470588235,245.768350802666,0.197679600353366,152.693657858612,204.293031921316,62.6399639776806,73.7990228565253,32.7305207407448,20.2039021077273,19.1318575622912,9.81917939576067,5.74899123720928,69.5525548632337,52.6417371664842,20.2234546405166
saa,2719,14,3,69,2,2,5,t3_k69,largest_terminal_gap_distinct_latest_information_node,51.599374062704,295,17,0.00677966101694915,1,0.857142857142857,1,0.941176470588235,245.768350802666,0.173737285446735,160.239727073942,204.293031921316,62.6399639776806,77.7350462318977,32.7305207407448,20.2039021077273,16.3652728909569,9.81917939576067,5.74899123720928,60.8370469438651,52.6417371664842,20.2234546405166
chi2_eta003,7671,14,3,84,2,4,4,t3_k84,largest_terminal_gap_distinct_latest_information_node,51.2926566777708,365,18,0.0164383561643836,1,0.701107011070111,1,0.87962962962963,252.702273520957,0.196706441479805,153.000375243545,204.293031921316,55.1778199697472,85.696867313433,32.7305207407448,18.181921074589,16.6084598990959,9.81917939576067,5.44871468474703,59.871390684588,52.6417371664842,18.4736684428779
saa,7671,14,3,84,2,4,4,t3_k84,largest_terminal_gap_distinct_latest_information_node,51.2926566777708,365,18,0.0164383561643836,1,0.701107011070111,1,0.87962962962963,252.702273520957,0.219083351559696,145.947685771095,204.293031921316,55.1778199697472,81.7410598176348,32.7305207407448,18.181921074589,26.7067704446267,9.81917939576067,5.44871468474703,60.7815771073059,52.6417371664842,18.4736684428779
chi2_eta003,7815,14,3,61,2,1,5,t3_k61,largest_terminal_gap_distinct_latest_information_node,57.8057198198949,159,16,0.00628930817610063,1,0.844262295081967,1,0.936363636363636,245.768350802666,0.217371214662471,146.487312101421,204.293031921316,65.2935329179776,83.6659942773494,32.7305207407448,20.6475887396815,20.2729853352829,9.81917939576067,5.74192122016609,64.7508014266087,52.6417371664842,19.0094691618732
saa,7815,14,3,61,2,1,5,t3_k61,largest_terminal_gap_distinct_latest_information_node,57.8057198198949,159,16,0.00628930817610063,1,0.844262295081967,1,0.936363636363636,245.768350802666,0.189308534093453,155.332026188899,204.293031921316,65.2935329179776,77.7203318463064,32.7305207407448,20.6475887396815,21.2876881615931,9.81917939576067,5.74192122016609,60.8370469438633,52.6417371664842,19.0094691618732
chi2_eta003,1529,19,5,214,4,6,6,t5_k214,largest_terminal_gap_distinct_latest_information_node,12.8036604251022,8,3,0.125,1,1,1,1,51.1843731811012,0.0283275634597358,243.153970969527,231.297621603105,242.807320173124,114.218032803913,121.918688071935,106.930820607498,44.9922799597377,50.0952851168181,41.9245619752392,149.530817776519,139.650041540419,130.105496866691
saa,1529,19,5,214,4,6,6,t5_k214,largest_terminal_gap_distinct_latest_information_node,12.8036604251022,8,3,0.125,1,1,1,1,51.1843731811012,0.0286744059230832,244.22407786932,231.297621603105,242.807320173124,119.917946791218,121.918688071935,106.930820607498,39.1009453159157,50.0952851168181,41.9245619752392,148.652131533243,139.650041540419,130.105496866691
chi2_eta003,5371,19,6,142,3,4,6,t6_k142,largest_terminal_gap_distinct_latest_information_node,10.8552150644057,13,8,0.0769230769230769,1,0.923076923076923,1,1,242.490845037318,0.0153021697613869,234.531627132872,231.297621603105,188.368509852039,121.918678398675,121.918688071935,79.2184680380246,44.7316246454212,50.0952851168181,26.8059084592273,134.158496620671,139.650041540419,96.5800980202639
saa,5371,19,6,142,3,4,6,t6_k142,largest_terminal_gap_distinct_latest_information_node,10.8552150644057,13,8,0.0769230769230769,1,0.923076923076923,1,1,242.490845037318,0.0274354116285251,222.840465864769,231.297621603105,188.368509852039,119.193737555574,121.918688071935,79.2184680380246,32.7305457818511,50.0952851168181,26.8059084592273,130.121087809878,139.650041540419,96.5800980202639
chi2_eta003,8650,19,5,222,4,7,6,t5_k222,largest_terminal_gap_distinct_latest_information_node,10.9409325282769,33,9,0.0606060606060606,1,1,1,1,109.078997891597,0.0276222407837327,247.336479639779,231.297621603105,237.251710425876,112.744249555329,121.918688071935,103.569493588837,53.9308247858408,50.0952851168181,37.288531810639,137.883547528748,139.650041540419,121.287317552971
saa,8650,19,5,222,4,7,6,t5_k222,largest_terminal_gap_distinct_latest_information_node,10.9409325282769,33,9,0.0606060606060606,1,1,1,1,109.078997891597,0.0314319083494375,246.57015587618,231.297621603105,237.251710425876,118.962913784611,121.918688071935,103.569493588837,38.5341262410166,50.0952851168181,37.288531810639,147.827905607889,139.650041540419,121.287317552971
