arm,penalty,path_id,stage,state_id,hurricane_a,hurricane_loc,hurricane_lf,beta,hour_in_stage,global_hour,site,electrical_bus,tariff_yuan_per_kwh,ordinary_demand_kg,ordinary_served_kg,ordinary_shortage_kg,H2_production_kg,P_EL_kW,pv_available_kw,pv_used_kw,root_grid_import,site_voltage_pu,begin_inventory_kg,inventory_before_HTT_kg,end_inventory_kg,HTT_in_kg,HTT_out_kg,begin_inventory_source,inventory_before_HTT_source,end_inventory_source,electrolyzer_capacity_binding,storage_capacity_binding
Arm-A,1000,1,1,81,2,4,1,0,4,4,4,31,0.3,0.260733530332001,0.260733530332001,0,0,0,0,0,2630.000815,0.944482564558062,31.9806467249148,31.7199131945828,31.7199131945828,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,5,5,1,24,0.32,0.930941096817874,0.930941096817874,0,0,0,0,0,2596.001135,0.98162614447226,55.7172043028248,54.7862632060069,54.7862632060069,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,5,5,2,14,0.32,1.24223602484472,1.24223602484472,0,0,0,0,0,2596.001135,0.945711147984028,48.7553429075689,47.5131068827241,47.5131068827241,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,5,5,3,18,0.32,0.19822459708696,0.19822459708696,0,0,0,0,0,2596.001135,0.942049629506017,24.2710104568745,24.0727858597876,24.0727858597876,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,5,5,4,31,0.32,0.521467060664001,0.521467060664001,0,0,0,0,0,2596.001135,0.94522107849528,31.7199131945828,31.1984461339188,31.1984461339188,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,6,6,1,24,0.36,1.86188219363575,1.86188219363575,0,0,0,0,0,2518.000995,0.98218321886878,54.7862632060069,52.9243810123712,52.9243810123712,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,6,6,2,14,0.36,3.03105590062112,3.03105590062112,0,0,0,0,0,2518.000995,0.947387658368987,47.5131068827241,44.482050982103,44.482050982103,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,6,6,3,18,0.36,0.396449194173921,0.396449194173921,0,0,0,0,0,2518.000995,0.943842670248739,24.0727858597876,23.6763366656137,23.6763366656137,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,6,6,4,31,0.36,1.042934121328,1.042934121328,0,0,0,0,0,2518.000995,0.946913158932749,31.1984461339188,30.1555120125908,30.1555120125908,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,7,7,1,24,0.45,4.31956668923494,4.31956668923494,0,0,0,0,0,2462.001085,0.982582973583975,52.9243810123712,48.6048143231362,48.6048143231362,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,7,7,2,14,0.45,3.7888198757764,3.7888198757764,0,0,0,0,0,2462.001085,0.948589475474814,44.482050982103,40.6932311063266,40.6932311063266,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,7,7,3,18,0.45,0.792898388347841,0.792898388347841,0,0,0,0,0,2462.001085,0.945127879387662,23.6763366656137,22.8834382772658,22.8834382772658,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,7,7,4,31,0.45,2.08586824265601,2.08586824265601,0,0,0,0,0,2462.001085,0.948126119491975,30.1555120125908,28.0696437699348,28.0696437699348,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,8,8,1,24,0.58,5.39945836154367,5.39945836154367,0,0,0,0,0,2630.000815,0.981383220932609,48.6048143231362,43.2053559615926,43.2053559615926,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,8,8,2,14,0.58,3.03105590062112,3.03105590062112,0,0,0,0,0,2630.000815,0.944979438785021,40.6932311063266,37.6621752057055,37.6621752057055,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,8,8,3,18,0.58,1.58579677669568,1.58579677669568,0,0,0,0,0,2630.000815,0.941266987498855,22.8834382772658,21.2976415005701,21.2976415005701,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,1,81,2,4,1,0,8,8,4,31,0.58,2.60733530332001,2.60733530332001,0,0,0,0,0,2630.000815,0.944482564558062,28.0696437699348,25.4623084666148,25.4623084666148,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,1,9,1,24,0.68,4.31956668923494,4.31956668923494,0,0,0,2.9938,2.9938,2964.025855,0.978978071795509,43.2053559615926,38.8857892723576,38.8857892723576,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,1,9,2,14,0.68,1.5527950310559,1.5527950310559,0,0,0,2.9938,2.9938,2964.025855,0.93786197718719,37.6621752057055,36.1093801746496,36.1093801746496,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,1,9,3,18,0.68,1.70473153494786,1.70473153494786,0,0,0,2.9938,2.9938,2964.025855,0.933695183382614,21.2976415005701,19.5929099656223,19.5929099656223,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,1,9,4,31,0.68,2.08586824265601,2.08586824265601,0,0,0,2.9938,2.9938,2964.025855,0.937150630561584,25.4623084666148,23.3764402239588,23.3764402239588,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,2,10,1,24,0.74,2.32735274204469,2.32735274204469,0,0,0,8.6468,8.6468,2941.413855,0.97911100561741,38.8857892723576,36.5584365303129,36.5584365303129,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,2,10,2,14,0.74,1.24223602484472,1.24223602484472,0,0,0,8.6468,8.6468,2941.413855,0.938543832496133,36.1093801746496,34.8671441498049,34.8671441498049,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,2,10,3,18,0.74,1.36378522795829,1.36378522795829,0,0,0,8.6468,8.6468,2941.413855,0.934506838151662,19.5929099656223,18.229124737664,18.229124737664,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,2,10,4,31,0.74,1.30366765166,1.30366765166,0,0,0,8.6468,8.6468,2941.413855,0.937559696080622,23.3764402239588,22.0727725722987,22.0727725722987,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,3,11,1,24,0.78,1.86188219363575,1.86188219363575,0,0,0,18.9976,18.9976,3057.01027,0.978229512458615,36.5584365303129,34.6965543366772,34.6965543366772,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,3,11,2,14,0.78,1.24223602484472,1.24223602484472,0,0,0,18.9976,18.9976,3057.01027,0.936386110774906,34.8671441498049,33.6249081249602,33.6249081249602,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,3,11,3,18,0.78,0.852365767473929,0.852365767473929,0,0,0,18.9976,18.9976,3057.01027,0.932348215697739,18.229124737664,17.3767589701901,17.3767589701901,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,3,11,4,31,0.78,1.042934121328,1.042934121328,0,0,0,18.9976,18.9976,3057.01027,0.934867934583353,22.0727725722987,21.0298384509707,21.0298384509707,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,4,12,1,24,0.82,1.86188219363575,1.86188219363575,0,0,0,34.8842,34.8842,3105.46369,0.97780040874695,34.6965543366772,32.8346721430414,32.8346721430414,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,4,12,2,14,0.82,1.39751552795031,1.39751552795031,0,0,0,34.8842,34.8842,3105.46369,0.935872485773145,33.6249081249602,32.2273925970098,32.2273925970098,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,4,12,3,18,0.82,0.792898388347841,0.792898388347841,0,0,0,34.8842,34.8842,3105.46369,0.932029559840564,17.3767589701901,16.5838605818422,16.5838605818422,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,4,12,4,31,0.82,1.23066226316704,1.23066226316704,0,0,0,34.8842,34.8842,3105.46369,0.9335609229386,21.0298384509707,19.7991761878037,19.7991761878037,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,5,13,1,24,0.86,2.32735274204469,2.32735274204469,0,0,0,43.9456,43.9456,3125.218,0.977612117957782,32.8346721430414,30.5073194009968,30.5073194009968,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,5,13,2,14,0.86,1.67701863354037,1.67701863354037,0,0,0,43.9456,43.9456,3125.218,0.935750794045141,32.2273925970098,30.5503739634695,30.5503739634695,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,5,13,3,18,0.86,0.792898388347841,0.792898388347841,0,0,0,43.9456,43.9456,3125.218,0.932031097678759,16.5838605818422,15.7909621934944,15.7909621934944,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,5,13,4,31,0.86,1.5383278289588,1.5383278289588,0,0,0,43.9456,43.9456,3125.218,0.932988021271496,19.7991761878037,18.2608483588449,18.2608483588449,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,6,14,1,24,0.88,2.79282329045362,2.79282329045362,0,0,0,67.001,67.001,3133.996105,0.977430553787688,30.5073194009968,27.7144961105431,27.7144961105431,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,6,14,2,14,0.88,1.95652173913043,1.95652173913043,0,0,0,67.001,67.001,3133.996105,0.936342889846972,30.5503739634695,28.593852224339,28.593852224339,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,6,14,3,18,0.88,0.991122985434801,0.991122985434801,0,0,0,67.001,67.001,3133.996105,0.932999291691874,15.7909621934944,14.7998392080596,14.7998392080596,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,6,14,4,31,0.88,1.84599339475056,1.84599339475056,0,0,0,67.001,67.001,3133.996105,0.932442286835158,18.2608483588449,16.4148549640943,16.4148549640943,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,7,15,1,24,0.8,3.25829383886256,3.25829383886256,0,0,0,77.1168,77.1168,2992.5332,0.978392990493837,27.7144961105431,24.4562022716806,24.4562022716806,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,7,15,2,14,0.8,2.48447204968944,2.48447204968944,0,0,0,77.1168,77.1168,2992.5332,0.939753770789519,28.593852224339,26.1093801746496,26.1093801746496,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,7,15,3,18,0.8,1.18934758252176,1.18934758252176,0,0,0,77.1168,77.1168,2992.5332,0.93679221777158,14.7998392080596,13.6104916255378,13.6104916255378,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,7,15,4,31,0.8,2.15365896054233,2.15365896054233,0,0,0,77.1168,77.1168,2992.5332,0.9353965009238,16.4148549640943,14.261196003552,14.261196003552,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,8,16,1,24,0.72,3.7237643872715,3.7237643872715,0,0,0,66.483,66.483,3035.0684,0.97814273152155,24.4562022716806,20.7324378844091,20.7324378844091,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,8,16,2,14,0.72,3.1055900621118,3.1055900621118,0,0,0,66.483,66.483,3035.0684,0.938472382903484,26.1093801746496,23.0037901125378,23.0037901125378,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,8,16,3,18,0.72,1.38757217960872,1.38757217960872,0,0,0,66.483,66.483,3035.0684,0.93526856944726,13.6104916255378,12.2229194459291,12.2229194459291,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,2,91,2,5,3,0.0504761904761905,8,16,4,31,0.72,2.08586824265601,2.08586824265601,0,0,0,66.483,66.483,3035.0684,0.93462508263946,14.261196003552,12.175327760896,12.175327760896,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,1,17,1,24,0.7,5.02708192281652,5.02708192281652,0,0,0,54.6124,54.6124,3048.55112,0.978107087433679,20.7324378844091,15.7053559615926,15.7053559615926,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,1,17,2,14,0.7,2.79503105590062,2.79503105590062,0,0,0,54.6124,54.6124,3048.55112,0.937777793160594,23.0037901125378,20.2087590566372,20.2087590566372,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,1,17,3,18,0.7,1.58579677669568,1.58579677669568,0,0,0,54.6124,54.6124,3048.55112,0.934353864330492,12.2229194459291,10.6371226692334,10.6371226692334,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,1,17,4,31,0.7,2.60733530332001,2.60733530332001,0,0,0,54.6124,54.6124,3048.55112,0.934510174314166,12.175327760896,9.567992457576,9.567992457576,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,2,18,1,24,0.78,4.52437373053487,4.52437373053487,0,0,0,35.5048,35.5048,2990.98147,0.978617935865678,15.7053559615926,11.1809822310577,11.1809822310577,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,2,18,2,14,0.78,1.86335403726708,1.86335403726708,0,0,0,35.5048,35.5048,2990.98147,0.938378923913478,20.2087590566372,18.3454050193701,18.3454050193701,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,2,18,3,18,0.78,2.477807463587,2.477807463587,0,0,0,35.5048,35.5048,2990.98147,0.934719750392014,10.6371226692334,8.15931520564641,8.15931520564641,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,2,18,4,31,0.78,2.34660177298801,2.34660177298801,0,0,0,35.5048,35.5048,2990.98147,0.936064849522856,9.567992457576,7.22139068458799,7.22139068458799,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,3,19,1,24,0.92,3.01624915368991,3.01624915368991,0,0,0,10.5576,10.5576,3168.77041,0.977471414178767,11.1809822310577,8.16473307736777,8.16473307736777,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,3,19,2,14,0.92,1.24223602484472,1.24223602484472,0,0,0,10.5576,10.5576,3168.77041,0.933667463683105,18.3454050193701,17.1031689945254,17.1031689945254,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,3,19,3,18,0.92,2.2300267172283,2.2300267172283,0,0,0,10.5576,10.5576,3168.77041,0.929315773171461,8.15931520564641,5.9292884884181,5.9292884884181,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,3,19,4,31,0.92,1.564401181992,1.564401181992,0,0,0,10.5576,10.5576,3168.77041,0.932540321529529,7.22139068458799,5.65698950259599,5.65698950259599,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,4,20,1,24,0.98,1.86188219363575,1.86188219363575,0,0,0,0,0,3625.00041,0.974247247050156,8.16473307736777,6.30285088373202,6.30285088373202,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,4,20,2,14,0.98,0.93167701863354,0.93167701863354,0,0,0,0,0,3625.00041,0.923309231212958,17.1031689945254,16.1714919758918,16.1714919758918,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,4,20,3,18,0.98,1.4866844781522,1.4866844781522,0,0,0,0,0,3625.00041,0.918067572956939,5.9292884884181,4.4426040102659,4.4426040102659,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,4,20,4,31,0.98,0.938640709195203,0.938640709195203,0,0,0,0,0,3625.00041,0.922608220694844,5.65698950259599,4.71834879340078,4.71834879340078,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,5,21,1,24,0.95,1.39641164522681,1.39641164522681,0,0,0,0,0,3715,0.973599205346691,6.30285088373202,4.90643923850521,4.90643923850521,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,5,21,2,14,0.95,0.62111801242236,0.62111801242236,0,0,0,0,0,3715,0.921323983730229,16.1714919758918,15.5503739634695,15.5503739634695,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,5,21,3,18,0.95,0.991122985434801,0.991122985434801,0,0,0,0,0,3715,0.915940163768486,4.4426040102659,3.4514810248311,3.4514810248311,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,5,21,4,31,0.95,0.703980531896402,0.703980531896402,0,0,0,0,0,3715,0.920604012870456,4.71834879340078,4.01436826150438,4.01436826150438,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,6,22,1,24,0.8,0.930941096817874,0.930941096817874,0,0,0,0,0,3625.00041,0.974247247050156,4.90643923850521,3.97549814168734,3.97549814168734,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,6,22,2,14,0.8,0.31055900621118,0.31055900621118,0,0,0,0,0,3625.00041,0.923309231212958,15.5503739634695,15.2398149572583,15.2398149572583,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,6,22,3,18,0.8,0.594673791260881,0.594673791260881,0,0,0,0,0,3625.00041,0.918067572956939,3.4514810248311,2.85680723357022,2.85680723357022,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,6,22,4,31,0.8,0.469320354597601,0.469320354597601,0,0,0,0,0,3625.00041,0.922608220694844,4.01436826150438,3.54504790690678,3.54504790690678,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,7,23,1,24,0.55,0.465470548408937,0.465470548408937,0,0,0,0,0,3580.99995,0.974563915357715,3.97549814168734,3.5100275932784,3.5100275932784,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,7,23,2,14,0.55,0.31055900621118,0.31055900621118,0,0,0,0,0,3580.99995,0.924278259268741,15.2398149572583,14.9292559510471,14.9292559510471,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,7,23,3,18,0.55,0.396449194173921,0.396449194173921,0,0,0,0,0,3580.99995,0.919105863079785,2.85680723357022,2.4603580393963,2.4603580393963,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,7,23,4,31,0.55,0.260733530332001,0.260733530332001,0,0,0,0,0,3580.99995,0.92358648741973,3.54504790690678,3.28431437657478,3.28431437657478,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,8,24,1,24,0.35,0.465470548408937,0.465470548408937,0,0,0,0,0,3301.0004,0.976576647204817,3.5100275932784,3.04455704486946,3.04455704486946,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,8,24,2,14,0.35,0.62111801242236,0.62111801242236,0,0,0,0,0,3301.0004,0.930421081723434,14.9292559510471,14.3081379386248,14.3081379386248,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,8,24,3,18,0.35,0.19822459708696,0.19822459708696,0,0,0,0,0,3301.0004,0.925685799078383,2.4603580393963,2.26213344230934,2.26213344230934,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
Arm-A,1000,1,3,110,2,7,6,0.142857142857143,8,24,4,31,0.35,0.260733530332001,0.260733530332001,0,0,0,0,0,3301.0004,0.929787631267956,3.28431437657478,3.02358084624278,3.02358084624278,0,0,RECONSTRUCTED,DIRECT,DIRECT,0,0
