parameter_name,symbol,current_value,code_unit,source_path,function_or_field,exact_line_or_field,effective_call_chain,objective_entry,parameter_type,explicit_source_description,real_currency_interpretation,audit_conclusion,risk_note
MSP electrolyzer O&M,c_EL_OM,0.012,yuan/kWh,data/yuanqi/near_stage_msp_input.mat,NearStageInput.Cost,el_om_yuan_per_kWh,MAT -> load_data -> electricity objective coefficient,fa_h2/build_stage_model_h2.m:36,engineering cost,Monetary field and active MSP objective chain exist,Yes within MSP model units,Not included in offline gamma=2,No external calibration reference was found
MSP hydrogen holding cost,c_hold,0.05,yuan/kg per stage objective application,data/yuanqi/near_stage_msp_input.mat,NearStageInput.Cost,h2_holding_cost_yuan_per_kg,MAT -> params.cost_holding -> c*xAfter,fa_h2/build_stage_model_h2.m:35,engineering cost,Monetary field and active MSP objective chain exist,Yes within MSP model units,This 0.05 MSP holding coefficient is distinct from offline gamma=2,No explicit per-hour/per-stage calibration source was found
MSP normal hydrogen shortage penalty,c_normal_short,200.0,yuan/kg,data/yuanqi/near_stage_msp_input.mat,NearStageInput.Cost,normal_shortage_penalty_yuan_per_kg,MAT -> optional multiplier -> c*z_normal,fa_h2/build_stage_model_h2.m:38,engineering penalty,Monetary field and active MSP objective chain exist,Yes within MSP model units,Distinct from disaster reserve shortage M=2000,No external calibration reference was found
MSP HTT transport rate,c_HTT,0.8,yuan/(kg*km),data/yuanqi/near_stage_msp_input.mat,NearStageInput.HTT,transport_cost_yuan_per_kg_km,rate*site road km -> base cost matrix -> beta-adjusted c*f,fa_h2/update_rhs_h2.m:44,engineering cost,Monetary field and active MSP objective chain exist,Yes within MSP model units,Not applied to offline C*y,Base matrix equality to 0.8*road_km was mechanically verified
MSP beta transport multiplier,lambda_beta,2.0,dimensionless,data/yuanqi/near_stage_msp_input.mat,NearStageInput.HTT,beta_transport_multiplier,MAT -> params -> (1+lambda_beta*beta) transport multiplier,fa_h2/update_rhs_h2.m:45,engineering/model multiplier,Active MSP transport chain exists,Only through monetary base transport cost,The numeric value 2 here is unrelated to offline gamma=2,Identical numerals must not be conflated
MSP reserve terminal shortage penalty,c_reserve_short,2000.0,yuan/kg,data/yuanqi/near_stage_msp_input.mat,NearStageInput.Cost,reserve_shortage_penalty_yuan_per_kg,MAT -> params.cost_reserve_shortage -> terminal value,fa_h2/fuzhu/terminal_value_and_subgradient_h2.m:15,engineering penalty,Monetary field and active terminal MSP chain exist,Yes within MSP model units,"Same numeric MAT field supplies offline M, but the surrounding objectives differ",No salvage reward exists for surplus above TerminalLOH
hydrogen tank capacities,Cap_i,"[300.0, 200.0, 100.0, 150.0]",kg,data/yuanqi/near_stage_msp_input.mat,NearStageInput.HydrogenDevice,tank_cap_kg,MAT -> C1 context -> fixed TerminalLOH bounds and binding audit,decision upper bounds,physical/engineering parameter,Named field and active solver/fixed-decision chain exist,Not a cost,"Effective capacities are [300,200,100,150] kg",Offline gamma does not represent capacity occupation cost
HTT base capacity,Q_HTT_total,160.0,kg/stage,data/yuanqi/near_stage_msp_input.mat,NearStageInput.HTT,base_capacity_kg_per_stage,N_HTT*Q_HTT -> beta-reduced ordinary-stage transfer bound,fa_h2/build_stage_model_h2.m:83,physical/engineering parameter,2 vehicles times 80 kg,Not a cost,"Active only in MSP, not in the offline fixed-T recourse",Higher TerminalLOH may require transfers whose feasibility/cost appears only after MSP integration
normal hydrogen demand,D_normal,stage-template sum=144,kg/stage template,data/yuanqi/near_stage_msp_input.mat,NearStageInput.NormalDemand,stage_template_kg,MAT -> expand_normal_demand_h2 -> ordinary-stage withdrawal/shortage,fa_h2/build_stage_model_h2.m:55,physical demand input,README and MAT note identify it as real outflow,Not itself a cost,Served normal load reduces inventory; shortage is penalized at 200 yuan/kg,Not represented by offline gamma=2
critical-load hydrogen template,H_node_critical,sum=162.125303439435,kg,data/yuanqi/near_stage_msp_input.mat,NearStageInput.CriticalLoad,H_node_kg,P_critical*support_hours/(eta_FC*LHV) -> optional MSP TerminalLOH builder,fa_h2/fuzhu/build_terminal_loh_h2.m:196,physical/model input,MAT support_hours=8,Not a cost,This optional MSP template is not the formal C1/C2/C3 D source,Formal C1/C2/C3 uses full P_load_base and three one-hour periods
liquid-hydrogen/storage loss,loss_H2,not defined,missing,fa_h2/build_stage_model_h2.m,MSP inventory balance,fa_h2/build_stage_model_h2.m:54,No loss coefficient appears in the implemented balance,none,missing engineering parameter,No source or active value found,No,Current MSP implicitly has zero storage/boil-off loss,Required for liquid-H2 or long-horizon realism
unused terminal hydrogen salvage/future value,v_salvage,0,no explicit value,fa_h2/fuzhu/terminal_value_and_subgradient_h2.m,terminal_value_and_subgradient_h2,fa_h2/fuzhu/terminal_value_and_subgradient_h2.m:14,Terminal value penalizes shortage only; surplus has zero explicit reward,none,absent economic term,No salvage/continuation credit found,No,Unused hydrogen has no explicit residual value in the audited terminal function,Full MSP continuation value would need separate modeling evidence
external hydrogen purchase,q_purchase,not modeled,missing,fa_h2/build_stage_model_h2.m,fa_h2 stage decision vector,fa_h2/build_stage_model_h2.m:22,No procurement/purchase decision or objective coefficient found,none,absent model component,No source or active value found,No,Extra TerminalLOH cannot be priced as purchased hydrogen in the current static model,Production is through electrolyzer power only
electricity unserved value/VOLL,c_EENS,not defined,missing yuan/kWh,fa_h2/build_stage_model_h2.m,implemented ordinary-stage objective coefficient block,fa_h2/build_stage_model_h2.m:38,No monetary electric-load-shedding variable enters the audited objectives,none,missing economic parameter,No source or active value found,No,The 2000 yuan/kg-labelled reserve penalty is not evidenced as a calibrated VOLL conversion,Needed for real economic EENS valuation
