method,branch_index,from_bus,to_bus,observed_hour_records,true_mva_mean,true_mva_q95,true_mva_q99,true_mva_q995,true_mva_max,utilization_mean,utilization_q95,utilization_q99,utilization_q995,utilization_max,unit_note
chi2_eta003,11,11,12,284328,0.666224693474534,0.793609237452938,0.802036460606823,0.802036460606823,0.83013166596092,0.111037448912423,0.132268206242156,0.13367274343447,0.13367274343447,0.138355277660153,MVA/MVA
chi2_eta003,12,12,13,284328,0.611553796673834,0.728613612645239,0.742541091837374,0.742541091837374,0.764501362009325,0.101925632778973,0.12143560210754,0.123756848639562,0.123756848639562,0.127416893668221,MVA/MVA
chi2_eta003,13,13,14,284328,0.557172339286999,0.664007812737581,0.683440642720054,0.683440642720054,0.699281190919116,0.0928620565478331,0.110667968789597,0.113906773786676,0.113906773786676,0.116546865153186,MVA/MVA
chi2_eta003,14,14,15,284328,0.305138801682904,0.341005646373319,0.36868867186503,0.36868867186503,0.40024992192379,0.0508564669471504,0.0568342743955531,0.0614481119775051,0.0614481119775051,0.0667083203206317,MVA/MVA
chi2_eta003,15,15,16,284328,0.256209303005683,0.292343190102596,0.314730260885095,0.314730260885095,0.339558536926993,0.0427015505009469,0.0487238650170993,0.0524550434808492,0.0524550434808492,0.0565930894878321,MVA/MVA
chi2_eta003,16,16,17,284328,0.205267076937809,0.242059603393958,0.258834164284702,0.258834164284702,0.276586333718787,0.0342111794896348,0.0403432672323264,0.0431390273807836,0.0431390273807836,0.0460977222864644,MVA/MVA
chi2_eta003,17,17,18,284328,0.154716394734834,0.193031884686211,0.203104463451496,0.203104463451496,0.21377558326432,0.0257860657891393,0.0321719807810352,0.0338507439085826,0.0338507439085826,0.0356292638773866,MVA/MVA
chi2_eta003,18,2,19,284328,0.319211914733096,0.384410374907592,0.393954312071844,0.393954312071844,0.393954312071844,0.0532019857888497,0.0640683958179319,0.065659052011974,0.065659052011974,0.065659052011974,MVA/MVA
chi2_eta003,19,19,20,284328,0.239408936049823,0.288307781180694,0.295465734053883,0.295465734053883,0.295465734053883,0.039901489341637,0.048051296863449,0.0492442890089805,0.0492442890089805,0.0492442890089805,MVA/MVA
chi2_eta003,20,20,21,284328,0.159605957366548,0.192205187453796,0.196977156035922,0.196977156035922,0.196977156035922,0.0266009928944249,0.032034197908966,0.032829526005987,0.032829526005987,0.032829526005987,MVA/MVA
chi2_eta003,21,21,22,284328,0.079802978683274,0.0961025937268979,0.098488578017961,0.098488578017961,0.098488578017961,0.0133004964472124,0.016017098954483,0.0164147630029935,0.0164147630029935,0.0164147630029935,MVA/MVA
chi2_eta003,22,3,23,284328,1.06200696787571,1.27265841423622,1.28483099405086,1.30973279717658,1.30973279717658,0.177001161312618,0.212109735706037,0.214138499008477,0.218288799529431,0.218288799529431,MVA/MVA
chi2_eta003,23,23,24,284328,0.979712339483499,1.17477764724455,1.18573102541858,1.20813906484312,1.20813906484312,0.163285389913916,0.195796274540758,0.197621837569763,0.201356510807186,0.201356510807186,MVA/MVA
chi2_eta003,24,24,25,284328,0.376931005474651,0.453918486250611,0.46518813398452,0.46518813398452,0.46518813398452,0.0628218342457753,0.0756530810417686,0.0775313556640867,0.0775313556640867,0.0775313556640867,MVA/MVA
chi2_eta003,25,6,26,284328,1.15361915963737,1.38331284654832,1.39892900069804,1.43087385887086,1.43087385887086,0.192269859939561,0.230552141091386,0.233154833449673,0.238478976478477,0.238478976478477,MVA/MVA
chi2_eta003,26,26,27,284328,1.10411379153783,1.32416572522121,1.33907396598489,1.36957110074651,1.36957110074651,0.184018965256305,0.220694287536868,0.223178994330816,0.228261850124418,0.228261850124418,MVA/MVA
chi2_eta003,27,27,28,284328,1.05491818661337,1.26535635893807,1.27956295806818,1.30862523283024,1.30862523283024,0.175819697768895,0.210892726489678,0.213260493011364,0.218104205471707,0.218104205471707,MVA/MVA
chi2_eta003,28,28,29,284328,1.00894342370446,1.21030713513463,1.22386443880786,1.25159897730863,1.25159897730863,0.168157237284077,0.201717855855772,0.203977406467976,0.208599829551438,0.208599829551438,MVA/MVA
chi2_eta003,29,29,30,284328,0.900781100974119,1.08101019755525,1.09301890490905,1.11758668567588,1.11758668567588,0.150130183495687,0.180168366259209,0.182169817484842,0.186264447612647,0.186264447612647,MVA/MVA
chi2_eta003,30,30,31,284328,0.484498471413003,0.590622714091195,0.596148697261227,0.607453701939498,0.607453701939498,0.0807497452355007,0.0984371190151992,0.0993581162102045,0.101242283656583,0.101242283656583,MVA/MVA
chi2_eta003,31,31,32,284328,0.246435971718612,0.296770076261961,0.304138126514911,0.304138126514911,0.304138126514911,0.0410726619531017,0.0494616793769935,0.0506896877524852,0.0506896877524852,0.0506896877524852,MVA/MVA
chi2_eta003,32,32,33,284328,0.0584298681873203,0.070364063805292,0.0721110255092798,0.0721110255092798,0.0721110255092798,0.0097383113645533,0.0117273439675487,0.0120185042515466,0.0120185042515466,0.0120185042515466,MVA/MVA
