state,intensity,loc,mode,eta,q_g_sum,p_g_sum,p_g_min,pearson_divergence,adversary_method,probability_qa
12,3,5,DRO,0.03,1.0,1.0000000000000007,6.571774522524539e-05,0.03,kkt_active_set,PASS
12,3,5,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
13,3,6,DRO,0.03,1.0,1.0,6.588355117702236e-05,0.03,kkt_active_set,PASS
13,3,6,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
14,3,7,DRO,0.03,1.0,0.9999999999999999,6.630792698895765e-05,0.03000000000000006,kkt_active_set,PASS
14,3,7,SAA,0.0,1.0,1.0,6.666666666666664e-05,0.0,eta_zero_direct_saa,PASS
15,4,1,DRO,0.03,1.0,0.9999999999999998,6.484218284997964e-05,0.030000000000000034,kkt_active_set,PASS
15,4,1,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
16,4,2,DRO,0.03,1.0,1.0,6.458024678743322e-05,0.030000000000000023,kkt_active_set,PASS
16,4,2,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
17,4,3,DRO,0.03,1.0,1.0000000000000004,6.458196740338975e-05,0.030000000000000027,kkt_active_set,PASS
17,4,3,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
18,4,4,DRO,0.03,1.0,0.9999999999999999,6.457035615065927e-05,0.03000000000000002,kkt_active_set,PASS
18,4,4,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
19,4,5,DRO,0.03,1.0,0.9999999999999998,6.514663057717739e-05,0.03000000000000004,kkt_active_set,PASS
19,4,5,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
20,4,6,DRO,0.03,1.0,0.9999999999999994,6.552429640808244e-05,0.029999999999999992,kkt_active_set,PASS
20,4,6,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
21,4,7,DRO,0.03,1.0,1.0000000000000004,6.581438422703934e-05,0.03000000000000006,kkt_active_set,PASS
21,4,7,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
22,5,1,DRO,0.03,1.0,1.0,6.334557987688789e-05,0.030000000000000034,kkt_active_set,PASS
22,5,1,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
23,5,2,DRO,0.03,1.0,0.9999999999999999,6.283806226670771e-05,0.030000000000000027,kkt_active_set,PASS
23,5,2,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
24,5,3,DRO,0.03,1.0,1.0,6.265539032310472e-05,0.030000000000000006,kkt_active_set,PASS
24,5,3,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
25,5,4,DRO,0.03,1.0,1.0,6.281143091514895e-05,0.029999999999999992,kkt_active_set,PASS
25,5,4,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
26,5,5,DRO,0.03,1.0,1.0000000000000004,6.371928428758827e-05,0.02999999999999999,kkt_active_set,PASS
26,5,5,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
27,5,6,DRO,0.03,1.0,0.9999999999999999,6.490155986969274e-05,0.030000000000000013,kkt_active_set,PASS
27,5,6,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
28,5,7,DRO,0.03,1.0,0.9999999999999998,6.561101536474223e-05,0.03000000000000004,kkt_active_set,PASS
28,5,7,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
29,6,1,DRO,0.03,1.0,1.0,6.156000774682559e-05,0.030000000000000002,kkt_active_set,PASS
29,6,1,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
30,6,2,DRO,0.03,1.0,0.9999999999999999,6.066623645836318e-05,0.030000000000000013,kkt_active_set,PASS
30,6,2,SAA,0.0,1.0,1.0,6.666666666666664e-05,0.0,eta_zero_direct_saa,PASS
31,6,3,DRO,0.03,1.0,1.0,6.0112111324672635e-05,0.030000000000000013,kkt_active_set,PASS
31,6,3,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
32,6,4,DRO,0.03,1.0,1.0,6.0686343827743384e-05,0.030000000000000013,kkt_active_set,PASS
32,6,4,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
33,6,5,DRO,0.03,1.0,1.0000000000000004,6.210614462356335e-05,0.03000000000000001,kkt_active_set,PASS
33,6,5,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
34,6,6,DRO,0.03,1.0,1.0,6.37686506285103e-05,0.03,kkt_active_set,PASS
34,6,6,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
35,6,7,DRO,0.03,1.0,0.9999999999999999,6.516700958930581e-05,0.02999999999999999,kkt_active_set,PASS
35,6,7,SAA,0.0,1.0,1.0,6.666666666666666e-05,0.0,eta_zero_direct_saa,PASS
