a,loc,node,impact_weight,notes
1,1,1,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,19,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,20,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,21,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,22,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,23,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,24,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,25,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,26,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,27,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,28,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,29,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,30,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,31,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,32,0.0,v2 parameterized terminal pressure weight; not fault probability
1,5,33,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,1,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,2,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,3,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,4,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,5,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,6,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,7,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,8,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,9,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,10,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,11,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,12,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,13,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,14,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,15,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,16,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,17,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,18,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,19,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,20,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,21,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,22,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,23,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,24,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,25,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,26,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,27,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,28,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,29,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,30,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,31,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,32,0.0,v2 parameterized terminal pressure weight; not fault probability
1,6,33,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,1,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,2,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,3,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,4,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,5,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,6,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,7,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,8,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,9,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,10,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,11,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,12,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,13,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,14,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,15,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,16,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,17,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,18,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,19,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,20,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,21,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,22,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,23,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,24,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,25,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,26,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,27,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,28,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,29,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,30,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,31,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,32,0.0,v2 parameterized terminal pressure weight; not fault probability
1,7,33,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,1,0.2,v2 parameterized terminal pressure weight; not fault probability
2,1,2,0.07692307692307693,v2 parameterized terminal pressure weight; not fault probability
2,1,3,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,4,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,5,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,6,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,7,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,8,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,9,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,10,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,11,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,12,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,13,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,14,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,15,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,16,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,17,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,18,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,19,0.015384615384615375,v2 parameterized terminal pressure weight; not fault probability
2,1,20,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,21,0.015384615384615375,v2 parameterized terminal pressure weight; not fault probability
2,1,22,0.13846153846153847,v2 parameterized terminal pressure weight; not fault probability
2,1,23,0.015384615384615375,v2 parameterized terminal pressure weight; not fault probability
2,1,24,0.07692307692307693,v2 parameterized terminal pressure weight; not fault probability
2,1,25,0.13846153846153847,v2 parameterized terminal pressure weight; not fault probability
2,1,26,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,27,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,28,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,29,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,30,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,31,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,32,0.0,v2 parameterized terminal pressure weight; not fault probability
2,1,33,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,1,0.0666666666666667,v2 parameterized terminal pressure weight; not fault probability
2,2,2,0.1897435897435898,v2 parameterized terminal pressure weight; not fault probability
2,2,3,0.08717948717948715,v2 parameterized terminal pressure weight; not fault probability
2,2,4,0.025641025641025595,v2 parameterized terminal pressure weight; not fault probability
2,2,5,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,6,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,7,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,8,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,9,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,10,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,11,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,12,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,13,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,14,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,15,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,16,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,17,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,18,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,19,0.1487179487179487,v2 parameterized terminal pressure weight; not fault probability
2,2,20,0.08717948717948715,v2 parameterized terminal pressure weight; not fault probability
2,2,21,0.1487179487179487,v2 parameterized terminal pressure weight; not fault probability
2,2,22,0.12820512820512825,v2 parameterized terminal pressure weight; not fault probability
2,2,23,0.1487179487179487,v2 parameterized terminal pressure weight; not fault probability
2,2,24,0.1897435897435898,v2 parameterized terminal pressure weight; not fault probability
2,2,25,0.12820512820512825,v2 parameterized terminal pressure weight; not fault probability
2,2,26,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,27,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,28,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,29,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,30,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,31,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,32,0.0,v2 parameterized terminal pressure weight; not fault probability
2,2,33,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,1,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,2,0.05641025641025648,v2 parameterized terminal pressure weight; not fault probability
2,3,3,0.17948717948717957,v2 parameterized terminal pressure weight; not fault probability
2,3,4,0.1589743589743589,v2 parameterized terminal pressure weight; not fault probability
2,3,5,0.09743589743589737,v2 parameterized terminal pressure weight; not fault probability
2,3,6,0.03589743589743582,v2 parameterized terminal pressure weight; not fault probability
2,3,7,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,8,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,9,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,10,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,11,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,12,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,13,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,14,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,15,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,16,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,17,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,18,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,19,0.11794871794871803,v2 parameterized terminal pressure weight; not fault probability
2,3,20,0.17948717948717957,v2 parameterized terminal pressure weight; not fault probability
2,3,21,0.11794871794871803,v2 parameterized terminal pressure weight; not fault probability
2,3,22,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,23,0.11794871794871803,v2 parameterized terminal pressure weight; not fault probability
2,3,24,0.05641025641025648,v2 parameterized terminal pressure weight; not fault probability
2,3,25,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,26,0.03589743589743582,v2 parameterized terminal pressure weight; not fault probability
2,3,27,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,28,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,29,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,30,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,31,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,32,0.0,v2 parameterized terminal pressure weight; not fault probability
2,3,33,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,1,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,2,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,3,0.04615384615384615,v2 parameterized terminal pressure weight; not fault probability
2,4,4,0.1076923076923077,v2 parameterized terminal pressure weight; not fault probability
2,4,5,0.16923076923076924,v2 parameterized terminal pressure weight; not fault probability
2,4,6,0.16923076923076924,v2 parameterized terminal pressure weight; not fault probability
2,4,7,0.1076923076923077,v2 parameterized terminal pressure weight; not fault probability
2,4,8,0.04615384615384615,v2 parameterized terminal pressure weight; not fault probability
2,4,9,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,10,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,11,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,12,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,13,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,14,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,15,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,16,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,17,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,18,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,19,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,20,0.04615384615384615,v2 parameterized terminal pressure weight; not fault probability
2,4,21,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,22,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,23,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,24,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,25,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,26,0.16923076923076924,v2 parameterized terminal pressure weight; not fault probability
2,4,27,0.1076923076923077,v2 parameterized terminal pressure weight; not fault probability
2,4,28,0.04615384615384615,v2 parameterized terminal pressure weight; not fault probability
2,4,29,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,30,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,31,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,32,0.0,v2 parameterized terminal pressure weight; not fault probability
2,4,33,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,1,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,2,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,3,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,4,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,5,0.03589743589743593,v2 parameterized terminal pressure weight; not fault probability
2,5,6,0.09743589743589748,v2 parameterized terminal pressure weight; not fault probability
2,5,7,0.15897435897435902,v2 parameterized terminal pressure weight; not fault probability
2,5,8,0.17948717948717946,v2 parameterized terminal pressure weight; not fault probability
2,5,9,0.11794871794871792,v2 parameterized terminal pressure weight; not fault probability
2,5,10,0.05641025641025637,v2 parameterized terminal pressure weight; not fault probability
2,5,11,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,12,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,13,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,14,0.05641025641025637,v2 parameterized terminal pressure weight; not fault probability
2,5,15,0.05641025641025637,v2 parameterized terminal pressure weight; not fault probability
2,5,16,0.11794871794871792,v2 parameterized terminal pressure weight; not fault probability
2,5,17,0.11794871794871792,v2 parameterized terminal pressure weight; not fault probability
2,5,18,0.11794871794871792,v2 parameterized terminal pressure weight; not fault probability
2,5,19,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,20,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,21,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,22,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,23,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,24,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,25,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,26,0.09743589743589748,v2 parameterized terminal pressure weight; not fault probability
2,5,27,0.15897435897435902,v2 parameterized terminal pressure weight; not fault probability
2,5,28,0.17948717948717946,v2 parameterized terminal pressure weight; not fault probability
2,5,29,0.11794871794871792,v2 parameterized terminal pressure weight; not fault probability
2,5,30,0.05641025641025637,v2 parameterized terminal pressure weight; not fault probability
2,5,31,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,32,0.0,v2 parameterized terminal pressure weight; not fault probability
2,5,33,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,1,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,2,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,3,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,4,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,5,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,6,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,7,0.025641025641025706,v2 parameterized terminal pressure weight; not fault probability
2,6,8,0.08717948717948726,v2 parameterized terminal pressure weight; not fault probability
2,6,9,0.1487179487179488,v2 parameterized terminal pressure weight; not fault probability
2,6,10,0.18974358974358968,v2 parameterized terminal pressure weight; not fault probability
2,6,11,0.12820512820512814,v2 parameterized terminal pressure weight; not fault probability
2,6,12,0.12820512820512814,v2 parameterized terminal pressure weight; not fault probability
2,6,13,0.12820512820512814,v2 parameterized terminal pressure weight; not fault probability
2,6,14,0.18974358974358968,v2 parameterized terminal pressure weight; not fault probability
2,6,15,0.18974358974358968,v2 parameterized terminal pressure weight; not fault probability
2,6,16,0.1487179487179488,v2 parameterized terminal pressure weight; not fault probability
2,6,17,0.1487179487179488,v2 parameterized terminal pressure weight; not fault probability
2,6,18,0.1487179487179488,v2 parameterized terminal pressure weight; not fault probability
2,6,19,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,20,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,21,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,22,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,23,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,24,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,25,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,26,0.0,v2 parameterized terminal pressure weight; not fault probability
2,6,27,0.025641025641025706,v2 parameterized terminal pressure weight; not fault probability
2,6,28,0.08717948717948726,v2 parameterized terminal pressure weight; not fault probability
