file,line/function,symbol,role,active_in_current_call_chain,source_of_truth,derived_copy,hardcoded,needs_override,needs_validation,notes
audit_stage89e_stage1_production_source_h2.m,163,P_EL,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"name(end+1,1) = ""P_EL_UPPER_BOUND""; scope(end+1,1) = ""site"" + i; %#ok<AGROW>"
audit_stage89e_stage1_production_source_h2.m,173,P_EL,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"parameter(end+1,1) = sprintf('r=%g*%g*P_EL', p.k_H2, p.dt_h); %#ok<AGROW>"
audit_stage89e_stage1_production_source_h2.m,216,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"parameter(end+1,1) = ""2000/1500/1000 yuan/kg changes objective only"";"
audit_stage89e_stage1_production_source_h2.m,220,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"conclusion(end+1,1) = ""Does not alter dt_h, Pmax, or conversion equality"";"
audit_stage89e_stage1_production_source_h2.m,239,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"'9','electrolyzer upper bound','fa_h2/build_stage_model_h2.m','build_stage_model_h2','21-24,46-52','P_EL_i <= [300,200,120,150] kW','same Pmax','YES','Direct kW bounds';"
audit_stage89e_stage1_production_source_h2.m,240,P_EL,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"'10','H2 conversion','fa_h2/build_stage_model_h2.m','build_stage_model_h2','61-83','r_i = 0.0195 * P_EL_i * 6','r_i = 0.0195 * P_EL_i * 8','YES','Implied per-site cap [35.1,23.4,14.04,17.55] kg';"
audit_stage89e_stage1_production_source_h2.m,241,120,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"'11','Stage1 reporting','run_stage89c_stage88_dro_10iter_3loc_oos10000_h2.m','train_ten_iterations / evaluate_oos','172-190,303-311','sum(sol.rval) = 90.09 kg','8h ceiling 120.12 kg','YES','Summary faithfully reports active aggregate LP';"
audit_stage89e_stage1_production_source_h2.m,267,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"add('electrolyzer_pmax_kw', mat2str(p.el_cap_kw(:).'), '[300 200 120 150]', isequal(p.el_cap_kw(:).',[300 200 120 150]), 'checkpoint params');"
audit_stage89e_stage1_production_source_h2.m,268,300,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"add('tank_capacity_kg', mat2str(p.x_cap(:).'), '[300 200 100 200]', isequal(p.x_cap(:).',[300 200 100 200]), 'checkpoint params');"
audit_stage89e_stage1_production_source_h2.m,269,200,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"add('site4_tank_kg', p.x_cap(4), 200, p.x_cap(4)==200, 'checkpoint params.x_cap(4)');"
audit_stage89e_stage1_production_source_h2.m,270,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"add('site4_pmax_kw', p.el_cap_kw(4), 150, p.el_cap_kw(4)==150, 'checkpoint params.el_cap_kw(4)');"
audit_stage89e_stage1_production_source_h2.m,271,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"add('site4_tank_pmax_confusion', 'NO', 'NO', p.x_cap(4)==200 && p.el_cap_kw(4)==150, 'separate checkpoint fields');"
audit_stage89e_stage1_production_source_h2.m,272,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add('active_6h_site_cap_kg', mat2str(sixHourCap(:).'), '[35.1 23.4 14.04 17.55]', max(abs(sixHourCap(:).'-[35.1 23.4 14.04 17.55]))<1e-10, 'Pmax*k_H2*dt_h');"
audit_stage89e_stage1_production_source_h2.m,273,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add('theoretical_8h_site_cap_kg', mat2str(eightHourCap(:).'), '[46.8 31.2 18.72 23.4]', max(abs(eightHourCap(:).'-[46.8 31.2 18.72 23.4]))<1e-10, 'Pmax*k_H2*8');"
audit_stage89e_stage1_production_source_h2.m,275,120,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add('theoretical_8h_system_cap_kg', sum(eightHourCap), 120.12, abs(sum(eightHourCap)-120.12)<1e-10, 'sum 8h per-site caps');"
audit_stage89e_stage1_production_source_h2.m,277,P_EL,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add('observed_stage1_p_el_kw', mat2str(sol.eval(:).'), mat2str(p.el_cap_kw(:).'), max(abs(sol.eval-p.el_cap_kw))<1e-7, 'one accepted Stage1 solve');"
audit_stage89e_stage1_production_source_h2.m,278,200,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"add('stage89c_terminal_gap_penalty', p.cost_reserve_shortage, 2000, p.cost_reserve_shortage==2000, 'checkpoint params');"
audit_stage89e_stage1_production_source_h2.m,280,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,for penalty = [1500 1000]
audit_stage89e_stage1_production_source_h2.m,282,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"'89D-terminal-gap-penalty-2000-1500-1000-sensitivity', 'run-001', ..."
audit_stage89e_stage1_production_source_h2.m,286,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"add(sprintf('stage89d_%d_pmax_kw',penalty), mat2str(q.el_cap_kw(:).'), '[300 200 120 150]', isequal(q.el_cap_kw(:).',[300 200 120 150]), 'Stage89D checkpoint params');"
audit_stage89e_stage1_production_source_h2.m,309,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"fprintf(fid, '**标签：LEGACY_6H_CAP_FOUND。** 90.09 kg 不是电网、电压、线路、储罐或成本权衡自然形成的值，也没有找到单独写死的 `production <= 90.09`。它来自一个仍在正式 Stage89C/89D 链中生效的 6 小时 stage 时长：`P_EL_i <= Pmax_i` 与 `r_i = k_H2 * dt_h * P_EL_i` 联立，在 `dt_h=6` 时把四站硬上限变成 `[35.1, 23.4, 14.04, 17.55] kg`，合计正好 `90.09 kg`。一次只解 Stage1 的最小诊断确认四站 `P_EL` 全部顶到 `[300,200,120,150] kW`，四个上界均 binding。\n\n');"
audit_stage89e_stage1_production_source_h2.m,310,P_EL,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, 'Stage89C/89D 实际上不是“8 个小时逐小时建模”：`T=8` 表示八个 MSP stage，但 active Stage1 只有每站一个聚合 `P_EL` 和一个聚合 `r`，没有 hour1...hour8 决策变量。`stage1_hourly_diagnostic.csv` 明确保留了 32 个请求的 hour-site 格子并标为 `NO_HOURLY_VARIABLES...`，没有伪造逐小时值。\n\n');"
audit_stage89e_stage1_production_source_h2.m,317,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, '5. `fa_h2/build_stage_model_h2.m:8-11` 选择 aggregate builder；第 52 行施加 `P_EL <= Pmax`，第 61-83 行施加 `r = k_H2 * dt_h * P_EL`。\n');"
audit_stage89e_stage1_production_source_h2.m,326,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, '- Pmax：`%s kW`\n', mat2str(p.el_cap_kw(:).'));"
audit_stage89e_stage1_production_source_h2.m,327,P_EL,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, '- 单次 Stage1 solve 的 P_EL：`%s kW`，cap slack 全部约为 0。\n', mat2str(sol.eval(:).',15));"
audit_stage89e_stage1_production_source_h2.m,330,300,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"fprintf(fid, '- Stage1 末库存：`%s kg`，对应 tank `[300,200,100,200] kg`，均未 binding。\n', mat2str(sol.xval(:).',15));"
audit_stage89e_stage1_production_source_h2.m,334,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, '2000/1500/1000 三档 checkpoint 都继承 `dt_h=6`、相同 Pmax 和相同 conversion equality；改 penalty 没有改变硬上界定义。因此，Stage89D 的“在当前有 6h 遗留的模型内，三档得到相同 90.09”这一配对事实仍可保留；但“90.09 是正式 8h 满产”“8h 下 penalty 不影响 Stage1”以及据此选择 1500 做长训练的解释不能保留。应先修正/明确 8h 时间尺度，再做短训练和同 seed sensitivity 验证，之后才决定是否继续 1500 长训练。\n\n');"
audit_stage89e_stage1_production_source_h2.m,337,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, '1. **90.09 从哪里来？** 四站 Pmax 合计 770 kW，乘 `6 h` 和 `0.0195 kg/kWh`；这是 active 约束组合形成的硬上限。\n');"
audit_stage89e_stage1_production_source_h2.m,339,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, '3. **当前 8h 模型真的允许 120.12 吗？** Stage89C/89D 当前并不是 active 8h 模型，所以不允许；它的硬上限是 90.09。若仅把同一 aggregate conversion 的有效时长正确设为 8h，Pmax 对应理论上限才是 120.12，但修复后还需重新验证其他约束和策略。\n');"
audit_stage89e_stage1_production_source_h2.m,340,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, '4. **哪个约束卡住？** 四个 `P_EL_i <= Pmax_i` 与包含 `dt_h=6` 的四个 production conversion equalities，四站 P_EL 上界均 binding。不是电网、储罐或 terminal penalty。\n');"
audit_stage89e_stage1_production_source_h2.m,341,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, '5. **是否先修再继续 1500 长训练？** 是。否则长训练只会更充分地收敛到错误的 6h feasible region。\n');"
audit_stage89e_stage1_production_source_h2.m,354,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, 'ACTUAL_BINDING_CAUSE = P_EL_i <= Pmax_i plus r_i = k_H2 * dt_h * P_EL_i with active dt_h=6; all four P_EL bounds bind\n\n');"
audit_stage89e_stage1_production_source_h2.m,355,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, 'SITE4_TANK_PMAX_CONFUSION = NO\n\n');"
audit_stage89e_stage1_production_source_h2.m,360,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"fprintf(fid, '审计仅加载 checkpoint 并执行一次 Stage1 LP solve；未训练、未 backward、未 OOS、未修改 penalty/TerminalLOH/tank/Pmax/模型。项目根目录：`%s`。\n', strrep(rootDir, '\\', '/'));"
build_stage88_candidate_msp_input_h2.m,2,200,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,False,False,True,%BUILD_STAGE88_CANDIDATE_MSP_INPUT_H2 Clone the MSP input with Site4 tank=200.
build_stage88_candidate_msp_input_h2.m,16,200,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,False,False,True,'near_stage_msp_input_stage88_cap200_candidate.mat');
build_stage88_candidate_msp_input_h2.m,40,200,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,False,False,True,candidate.HydrogenDevice.tank_cap_kg(4) = 200;
build_stage88_candidate_msp_input_h2.m,55,Pmax,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,False,False,True,audit.source_pmax_kw = double(source.HydrogenDevice.el_cap_kw(:));
build_stage88_candidate_msp_input_h2.m,56,Pmax,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,False,False,True,audit.candidate_pmax_kw = double(candidate.HydrogenDevice.el_cap_kw(:));
build_stage88_candidate_msp_input_h2.m,63,300,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,True,False,True,expectedTank = [300; 200; 100; 150];
build_stage88_candidate_msp_input_h2.m,64,Pmax,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,True,False,True,expectedPmax = [300; 200; 120; 150];
build_stage88_candidate_msp_input_h2.m,69,300,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,True,False,True,"'Current MSP tank vector is not [300,200,100,150] kg.');"
build_stage88_candidate_msp_input_h2.m,71,Pmax,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,False,False,True,"if ~isequal(double(source.HydrogenDevice.el_cap_kw(:)), expectedPmax)"
build_stage88_candidate_msp_input_h2.m,72,Pmax,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,False,False,True,"error('build_stage88_candidate_msp_input_h2:SourcePmaxDrift', ..."
build_stage88_candidate_msp_input_h2.m,73,Pmax,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,True,False,True,"'Current MSP Pmax vector is not [300,200,120,150] kW.');"
build_stage88_candidate_msp_input_h2.m,79,200,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,False,False,True,if double(source.Cost.reserve_shortage_penalty_yuan_per_kg) ~= 2000
build_stage88_candidate_msp_input_h2.m,81,200,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,False,False,True,'Terminal gap penalty must remain 2000 yuan/kg.');
build_stage88_candidate_msp_input_h2.m,86,300,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,True,False,True,expectedTank = [300; 200; 100; 200];
build_stage88_candidate_msp_input_h2.m,89,300,B_ACTIVE_VALIDATION_OR_DIAGNOSTIC,True,False,False,True,False,True,"'Candidate tank vector must be [300,200,100,200] kg.');"
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,72,300,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"require(int(summary.loc[summary.initial_loc_label == ""combined"", ""path_count""].iloc[0]) == 30000, ""combined path count failed"")"
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,74,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"require(audit.loc[audit.parameter_or_gate == ""terminal_gap_penalty"", ""actual""].iloc[0] in (""2000"", ""2000.0""), ""gap penalty drift"")"
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,198,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"2000 * loc_rows.mean_terminal_gap_kg / loc_rows.mean_total_cost_yuan.replace(0, np.nan)"
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,213,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,本次 Stage88 DRO candidate 完成了严格限定的 **10 次** FA-MSP forward/backward 更新，并完成 loc1、loc4、loc7 各 10000 条独立 OOS（总计 30000 条）。运行没有切到 SAA，没有使用 Stage53/legacy TerminalLOH，没有修改 W bank、Site4 Pmax、普通需求/电价/HTT/Markov，也没有把 terminal-gap penalty 从 2000 改为 1500。
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,227,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,4. **terminal gap 是否仍被 2000元/kg 强烈驱动？** 目标函数结构仍然给每 kg terminal gap 施加 2000 元惩罚，且未改为 1500。观测上，三个位置的平均 terminal gap 为 `{loc_rows.mean_terminal_gap_kg.min():.6f}`–`{loc_rows.mean_terminal_gap_kg.max():.6f}` kg，对应 penalty 占平均 total cost 的描述性比例为 `{terminal_cost_share.min():.1%}`–`{terminal_cost_share.max():.1%}`。这是结构与结果的一致性证据，不是 2000 对 1500 的因果比较。
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,235,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,8. **下一阶段是否有必要测试 terminal-gap penalty 2000→1500？** {'值得作为独立 sensitivity 测试' if sensitivity_flag else '目前没有很强的行为证据要求立即测试，但可作为独立 sensitivity'}。本阶段没有实施 1500；建议只在单独阶段用相同训练预算和共样本 OOS 做因果对照，避免把训练迭代数差异混入 penalty 结论。
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,239,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,- TerminalLOH：Stage88 `DRO_CAP200 eta=0.03`，版本 `stage88_cap200_v1`。
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,240,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"- tank capacity：`[300,200,100,200] kg`；Site4 Pmax：`150 kW`。"
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,241,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,- terminal-gap penalty：`2000 yuan/kg`；ordinary shortage penalty 保持 baseline `200 yuan/kg`。
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,252,300,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,- `oos_summary_by_initial_loc.csv`：loc1/4/7 与 30000-path 合并汇总，含逐阶段逐站平均 inventory。
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,274,300,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add(""oos_combined_rows"", int(summary.loc[summary.initial_loc_label == ""combined"", ""path_count""].iloc[0]), 30000)"
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,285,300,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"""TRAINING_ITERATIONS=10\nOOS_PATHS=30000\nQA_PASS=true\nFULLY_CONVERGED=false\nSAA_RUN=false\n"","
finalize_stage89c_stage88_dro_10iter_3loc_oos10000.py,289,300,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"""STATUS=COMPLETE\nPHASE=QA_COMPLETE\nCOUNT=30000\nFULLY_CONVERGED=false\nSAA_RUN=false\n"","
finalize_stage89d_terminal_gap_penalty_sensitivity.py,16,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"OUT = ROOT / ""results"" / ""task-002-stage2b-b3-smoke"" / ""89D-terminal-gap-penalty-2000-1500-1000-sensitivity"" / ""run-001"""
finalize_stage89d_terminal_gap_penalty_sensitivity.py,18,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"PENALTIES = (2000, 1500, 1000)"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,55,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"for penalty in (1500, 1000):"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,82,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"base[""penalty_yuan_per_kg""] = 2000"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,83,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"base[""operating_cost_excl_terminal_penalty_yuan""] = base.total_cost_yuan - 2000 * base.terminal_gap_kg"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,84,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"base[""terminal_gap_penalty_component_yuan""] = 2000 * base.terminal_gap_kg"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,85,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"scenarios[(2000, loc)] = base"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,86,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"for penalty in (1500, 1000):"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,158,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,if penalty == 2000:
finalize_stage89d_terminal_gap_penalty_sensitivity.py,179,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"pair_specs = [(1500, 2000), (1000, 2000), (1000, 1500)]"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,271,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"base_early = combined.loc[2000, [f""mean_inventory_total_stage{s}_kg"" for s in (1, 2, 3)]].mean()"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,272,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"base_short = combined.loc[2000, ""mean_ordinary_shortage_kg""]"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,273,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"base_gap = combined.loc[2000, ""mean_terminal_gap_kg""]"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,274,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"base_op = combined.loc[2000, ""mean_operating_cost_excl_terminal_penalty_yuan""]"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,275,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"for penalty in (1500, 1000):"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,298,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"""PENALTY_2000_BASELINE_REUSED"": ""YES"","
finalize_stage89d_terminal_gap_penalty_sensitivity.py,299,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"""PENALTY_1500_TRAINING_COMPLETE"": ""YES"","
finalize_stage89d_terminal_gap_penalty_sensitivity.py,307,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"colors = {2000: ""#0072B2"", 1500: ""#E69F00"", 1000: ""#009E73""}"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,357,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add(""candidate_penalties"", ""[1500,1000] only"", ""[1500,1000]"", True)"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,361,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add(""iterations_each"", 10, [len(trainings[1500]), len(trainings[1000])], all(len(x) == 10 for x in trainings.values()))"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,364,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add(""terminal_loh"", ""Stage88 DRO CAP200 eta=0.03"", ""Stage88 DRO CAP200 eta=0.03"", True)"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,365,300,C_LEGACY_OR_INACTIVE,False,False,False,True,False,False,"add(""tank_capacity_kg"", ""[300,200,100,200]"", ""[300,200,100,200]"", True)"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,366,Pmax,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add(""site4_pmax_kw"", 150, 150, True)"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,367,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add(""ordinary_shortage_penalty"", 200, 200, True)"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,370,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"add(""candidate_oos_rows"", 60000, sum(len(scenarios[(p,l)]) for p in (1500,1000) for l in LOCS), True)"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,398,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,stage1_down_1500 = stage1[1500] < stage1[2000] - 1e-6
finalize_stage89d_terminal_gap_penalty_sensitivity.py,399,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,stage1_down_1000 = stage1[1000] < stage1[1500] - 1e-6
finalize_stage89d_terminal_gap_penalty_sensitivity.py,400,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,overstrong = (stage1[2000] >= 90.09 - 1e-6) and (
finalize_stage89d_terminal_gap_penalty_sensitivity.py,401,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"labels[""EARLY_INVENTORY_RELIEF_1500""] in (""CLEAR"", ""MODERATE"")"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,404,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"if labels[""PENALTY_1500_JUDGMENT""] == ""PROMISING"":"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,405,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"retain = ""1500"""
finalize_stage89d_terminal_gap_penalty_sensitivity.py,408,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"elif labels[""PENALTY_1500_JUDGMENT""] == ""MIXED"":"
finalize_stage89d_terminal_gap_penalty_sensitivity.py,409,150,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"retain = ""1500（仅作为继续训练的 candidate）"""
finalize_stage89d_terminal_gap_penalty_sensitivity.py,411,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"retain = ""2000 baseline，暂无证据替换"""
finalize_stage89d_terminal_gap_penalty_sensitivity.py,413,200,C_LEGACY_OR_INACTIVE,False,False,False,False,False,False,"(""PENALTY_2000_BASELINE_REUSED"", labels[""PENALTY_2000_BASELINE_REUSED""]),"
