candidate,path_id,checkpoint_relative_hour,failure_type,tail_group,grid_aware_recovery_supported,classification,critical_bus,grid_clipped_hours,minimum_voltage_margin,grid_aware_recovery_margin_kg
B1000,4007,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,15.942948439
B1000,4711,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,7.596511555
B1000,4723,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,21.792948439
B1000,5152,-16,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,0.086882507
B1000,5265,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,0.086882507
B1000,5592,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,3.011882507
B1000,5685,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,15.942948439
B1000,6098,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,16.867612182
B1000,6098,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,5.565546535
B1000,6266,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,12.993087584
B1000,6266,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,1.691021937
B1000,6663,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,16.867612182
B1000,7669,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,12.993087584
B1000,7669,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,1.691021937
B1000,7786,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,7.596511555
B1000,7862,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,15.942948439
B1000,8332,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,21.792948439
B1000,8384,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.303203843
B1000,8440,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,4.242948439
B1000,8440,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.899620517
B1000,8716,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,12.993087584
B1000,8716,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,1.691021937
B1000,8747,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,15.942948439
B1000,9334,-4,pure_quantity,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.0183902000468,2.993112131
B1000,9428,-16,pure_quantity,extreme1,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,7.596511555
B1000,9825,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,16.867612182
B1000,9825,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00241410472258,5.565546535
B1000,9955,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00892030354892,11.280100051
B0100,152,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,10.092948439
B0100,467,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,10.092948439
B0100,488,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,10.092948439
B0100,518,-16,pure_quantity,extreme1,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,2,0,9.80553713273
B0100,643,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,11.017612182
B0100,783,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00657556945701,7.641080929
B0100,801,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,10.092948439
B0100,869,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,7.266565219
B0100,869,-4,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.0160697050306,3.366565219
B0100,965,-4,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00657556945701,0.981648242
B0100,1165,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,13.992948439
B0100,1320,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,13.992948439
B0100,1432,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,2.292948439
B0100,1432,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.899620517
B0100,1580,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.303203843
B0100,1666,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,11.017612182
B0100,2000,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,13.992948439
B0100,2052,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,7.143087584
B0100,2103,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,11.017612182
B0100,2435,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,7.143087584
B0100,2467,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,2,0,4.40896110373
B0100,2501,-16,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,11.848044551
B0100,3269,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,2.940294789
B0100,3349,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,1.746511555
B0100,3381,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,4.341565219
B0100,3951,-8,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,1,0,5.217948439
B0100,3997,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,2.292948439
B0100,3997,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.899620517
B0100,4007,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,10.092948439
B0100,4711,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,1.746511555
B0100,4723,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,13.992948439
B0100,5685,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,10.092948439
B0100,6098,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,11.017612182
B0100,6098,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,1.665546535
B0100,6266,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,7.143087584
B0100,6663,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,11.017612182
B0100,7669,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,7.143087584
B0100,7786,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,1.746511555
B0100,7862,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,10.092948439
B0100,8332,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,13.992948439
B0100,8384,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.303203843
B0100,8440,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,2.292948439
B0100,8440,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.899620517
B0100,8716,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,7.143087584
B0100,8747,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,10.092948439
B0100,9334,-4,pure_quantity,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.0160697050306,1.043112131
B0100,9428,-16,pure_quantity,extreme1,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,1.746511555
B0100,9825,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,11.017612182
B0100,9825,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,5.24214372741e-05,1.665546535
B0100,9955,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00657556945701,7.380100051
B0010,152,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-0.0391172082347
B0010,467,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-0.0391172082347
B0010,488,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-0.0391172082347
B0010,518,-16,pure_quantity,extreme1,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,2,0,1.31749567909
B0010,643,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,0.885546534765
B0010,783,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00694204932417,4.521080929
B0010,801,-16,pure_quantity,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-0.0391172082347
B0010,869,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.000421556289674,4.146565219
B0010,869,-4,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.0164323882158,1.806565219
B0010,1165,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.000421556289674,7.752948439
B0010,1320,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.000421556289674,7.752948439
B0010,1432,-8,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-4.71911720823
B0010,1580,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-7.75526949023
B0010,1666,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,0.885546534765
B0010,2000,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00434424568613,7.752948439
B0010,2052,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.98897806323
B0010,2103,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,0.885546534765
B0010,2435,-16,pure_quantity,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.98897806323
B0010,2501,-16,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.000421556289674,5.608044551
B0010,3269,-8,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-4.07177085823
B0010,3381,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.000421556289674,1.221565219
B0010,3951,-8,pure_quantity,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,2,0,-0.41264346591
B0010,3997,-8,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-4.71911720823
B0010,4007,-16,pure_quantity,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-0.0391172082347
B0010,4723,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.000421556289674,7.752948439
B0010,5685,-16,pure_quantity,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-0.0391172082347
B0010,6098,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,0.885546534765
B0010,6266,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.98897806323
B0010,6663,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,0.885546534765
B0010,7669,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.98897806323
B0010,7862,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-0.0391172082347
B0010,8332,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.000421556289674,7.752948439
B0010,8384,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-7.75526949023
B0010,8440,-8,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-4.71911720823
B0010,8716,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-2.98897806323
B0010,8747,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-0.0391172082347
B0010,9825,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,0.885546534765
B0010,9955,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00694204932417,4.260100051
B0001,152,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,467,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,488,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,518,-16,pure_quantity,extreme1,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,1,0,
B0001,643,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,801,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,1165,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00215974758658,
B0001,1320,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00215974758658,
B0001,1666,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,2000,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.0115296296119,
B0001,2052,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,2103,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,2435,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,2467,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,1,0,
B0001,2501,-16,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00215974758658,
B0001,3349,-16,pure_quantity,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,
B0001,4007,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,4711,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,
B0001,4723,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00215974758658,
B0001,5685,-16,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,6098,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,6266,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,6663,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,7669,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,7786,-16,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,
B0001,7862,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,8332,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00215974758658,
B0001,8716,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,8747,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,9428,-16,pure_quantity,extreme1,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,
B0001,9825,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,783,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00866776765037,
B0001,869,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00215974758658,
B0001,1432,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,3269,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,3381,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00215974758658,
B0001,3951,-8,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,1,0,
B0001,3997,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,8440,-8,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,4,0,
B0001,9955,-8,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00866776765037,
B0001,869,-4,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.0181402688616,
B0001,965,-4,mixed,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00866776765037,
B0001,1432,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,
B0001,1580,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,
B0001,3997,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,
B0001,8384,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,
B0001,8440,-4,mixed,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,
B0001,9334,-4,pure_quantity,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.0181402688616,
B1100,152,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,5,0,27.5509547037
B1100,201,-8,pure_quantity,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,1,0,3.94841933967
B1100,326,-16,pure_quantity,extreme1,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00627345846488,0.671882507
B1100,459,-8,pure_quantity,difficult4,YES,FULL_CANDIDATE_HOSTABLE_AND_SUPPORTED,18,0,0.00627345846488,7.897024047
B1100,467,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,5,0,27.5509547037
B1100,477,-4,pure_quantity,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,1,0,-0.568556362436
B1100,488,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,5,0,27.5509547037
B1100,518,-16,pure_quantity,extreme1,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,3,0,31.5399006145
B1100,643,-16,mixed,difficult4,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED,18,5,0,28.4756184467
B1100,668,-8,pure_quantity,difficult4,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT,18,4,0,-5.05625628995
