selection_class,path_id,class_rank,ranking_metric,ranking_value,eligibility_rule
C,7985,16,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,8032,17,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,8339,18,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,8693,19,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
C,9184,20,delta_inventory,103.33615435960803,terminal-hit; rank DRO-minus-SAA final inventory descending
D,2017,1,statically_coverable_gap_dro,46.7681713867848,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,8138,2,statically_coverable_gap_dro,46.7681713867848,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,1607,3,statically_coverable_gap_dro,46.4348870441432,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,2503,4,statically_coverable_gap_dro,38.6923506836378,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,8986,5,statically_coverable_gap_dro,38.6923506836378,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,7258,6,statically_coverable_gap_dro,34.9063440937147,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,907,7,statically_coverable_gap_dro,32.3029052190345,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,5744,8,statically_coverable_gap_dro,32.3029052190338,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,1589,9,statically_coverable_gap_dro,31.2622241517685,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,9651,10,statically_coverable_gap_dro,30.2385952115556,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,1796,11,statically_coverable_gap_dro,28.7180578738839,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,195,12,statically_coverable_gap_dro,26.9258806817729,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,2527,13,statically_coverable_gap_dro,26.8170893661358,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,5503,14,statically_coverable_gap_dro,26.8170893661229,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,8633,15,statically_coverable_gap_dro,26.8170893661228,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,1038,16,statically_coverable_gap_dro,26.8170893661206,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,369,17,statically_coverable_gap_dro,26.8170893661162,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,3650,18,statically_coverable_gap_dro,26.8170893661162,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,6348,19,statically_coverable_gap_dro,26.8170893661162,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
D,9214,20,statically_coverable_gap_dro,26.8170893661162,terminal-hit; positive DRO gap and other-site surplus; rank static coverable gap descending
E,9114,1,production_dro,550.68,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,134,2,production_dro,459.051594461041,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,2163,3,production_dro,459.051594461041,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,5668,4,production_dro,459.051594461041,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,9239,5,production_dro,459.051594461041,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,145,6,production_dro,459.051594461038,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,6568,7,production_dro,459.051594461038,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,2771,8,production_dro,455.216509559588,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,3615,9,production_dro,455.216509559588,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,4029,10,production_dro,455.216509559588,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,4135,11,production_dro,455.216509559588,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,1738,12,production_dro,450.44209136794,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,5988,13,production_dro,450.44209136794,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,6723,14,production_dro,450.44209136794,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,7812,15,production_dro,450.44209136794,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,821,16,production_dro,441.883329698226,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,9895,17,production_dro,435.531550269846,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,69,18,production_dro,430.56,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,201,19,production_dro,430.56,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
E,964,20,production_dro,430.56,terminal-hit; bottom-decile DRO HTT and zero gap; rank production descending
