profile_id,global_hour,occurrence_count,realized_pel1_kw,realized_pel2_kw,realized_pel3_kw,realized_pel4_kw,current_remaining_base_headroom_kw,candidate_nameplate_increment_kw,total_increment_needed_to_candidate_kw,solver_success,max_additional_hosting_kw,requested_additional_kw,hosting_ratio,full_hostable,min_voltage_pu,max_voltage_pu,voltage_margin_pu,critical_bus,max_true_s_mva,max_true_s_utilization,critical_branch_id,critical_branch_from,critical_branch_to,max_octagon_utilization,voltage_limited_flag,branch_limited_flag,substation_limited_flag,unclassified_limited_flag,root_grid_import_kw,root_reactive_import_kvar,pv_used_kw,max_p_balance_error_kw,max_q_balance_error_kvar,max_voltage_drop_error,slack_voltage_error,max_octagon_violation_kva,true_circle_violation_mva,max_additional_site4_hosting_kw,max_new_pel4_kw,plus_37p5_from_realized_hostable,S4_FULL_INCREMENT_HOSTABLE
19,12,589,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.90866776765,1,0.00866776765037,18,4.39857219561,0.733095365935,1,1,2,0.755414734318,False,False,False,False,3912.96369,2009.0178,139.5368,2.41584530158e-13,1.56319401867e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
20,13,8333,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.924398915944,1,0.0243989159441,33,3.89239787135,0.648732978558,1,1,2,0.683269277728,False,False,False,False,3312.718,2043.688,175.7824,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
21,13,589,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.908669345026,1,0.00866934502622,18,4.43203469175,0.738672448625,1,1,2,0.762357187082,False,False,False,False,3932.718,2043.688,175.7824,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
22,14,8333,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.923815761045,1,0.023815761045,33,3.93300026192,0.655500043654,1,1,2,0.692365433943,False,False,False,False,3321.496105,2106.2181,268.004,4.40536496171e-13,1.63424829225e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
23,14,589,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.909662404328,1,0.00966240432792,18,4.46895359458,0.744825599096,1,1,2,0.771453343297,False,False,False,False,3941.496105,2106.2181,268.004,1.63424829225e-13,1.63424829225e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
24,15,8333,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.926829715699,1,0.0268297156992,33,3.78011531497,0.630019219161,1,1,2,0.666343852833,False,False,False,False,3180.0332,2043.688,308.4672,2.98427949019e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
25,15,589,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.913552226656,1,0.0135522266557,18,4.31473208467,0.719122014111,1,1,2,0.745431762187,False,False,False,False,3800.0332,2043.688,308.4672,2.98427949019e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
26,16,8333,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.926051161147,1,0.0260511611468,33,3.81596747025,0.635994578375,1,1,2,0.67176969161,False,False,False,False,3222.5684,2043.688,265.932,2.98427949019e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
27,16,589,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.911989752435,1,0.0119897524348,18,4.35223994628,0.725373324381,1,1,2,0.750857600964,False,False,False,False,3842.5684,2043.688,265.932,2.27373675443e-13,1.7763568394e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
28,17,6787,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.925946052931,1,0.0259460529306,33,3.81616207051,0.636027011752,1,1,2,0.67080445174,False,False,False,False,3236.05112,2022.6384,218.4496,3.12638803734e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
29,17,1,0,0,50.6771881454,0,150,37.5,187.5,True,187.5,187.5,1,True,0.925211145275,1,0.0252111452755,33,3.85922907699,0.643204846166,1,1,2,0.67726889184,False,False,False,False,3286.72830815,2022.6384,218.4496,3.12638803734e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
30,17,3,0,0,81.3229116254,0,150,37.5,187.5,True,187.5,187.5,1,True,0.924766445436,1,0.0247664454363,33,3.88536183165,0.647560305275,1,1,2,0.68117809539,False,False,False,False,3317.37403163,2022.6384,218.4496,3.12638803734e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
31,17,9,116.919517905,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.925484898487,1,0.0254848984868,33,3.91579853872,0.652633089786,1,1,2,0.685718839214,False,False,False,False,3352.97063791,2022.6384,218.4496,3.12638803734e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
32,17,35,116.919517905,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.925484898487,1,0.0254848984868,33,3.91579853872,0.652633089786,1,1,2,0.685718839214,False,False,False,False,3352.97063791,2022.6384,218.4496,4.12114786741e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
33,17,5,298.909307546,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.924766636055,1,0.0247666360548,33,4.07271547269,0.678785912115,1,1,2,0.708933664998,False,False,False,False,3534.96042755,2022.6384,218.4496,4.97379915032e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
34,17,87,300,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.924762329717,1,0.0247623297172,33,4.07366218781,0.678943697969,1,1,2,0.709072794976,False,False,False,False,3536.05112,2022.6384,218.4496,3.12638803734e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
35,17,3,300,0,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.924762329717,1,0.0247623297172,33,4.07366218781,0.678943697969,1,1,2,0.709072794976,False,False,False,False,3536.05112,2022.6384,218.4496,3.12638803734e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
36,17,14,300,200,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.920095012103,1,0.0200950121034,18,4.24842842336,0.708071403893,1,1,2,0.7345850238,False,False,False,False,3736.05112,2022.6384,218.4496,3.12638803734e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
37,17,961,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.91105167545,1,0.0110516754495,18,4.35433075652,0.725721792754,1,1,2,0.749892361094,False,False,False,False,3856.05112,2022.6384,218.4496,3.12638803734e-13,9.59232693276e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
38,18,6927,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.927557827398,1,0.0275578273983,33,3.72358602307,0.620597670512,1,1,2,0.652878201242,False,False,False,False,3178.48147,1939.6774,142.0192,3.41060513165e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
39,18,3,300,0,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.926376163712,1,0.0263761637123,33,3.98273546111,0.663789243519,1,1,2,0.691146544478,False,False,False,False,3478.48147,1939.6774,142.0192,3.41060513165e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
40,18,1,300,0,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.921909523796,1,0.0219095237957,18,4.08796004212,0.681326673687,1,1,2,0.706453881772,False,False,False,False,3598.48147,1939.6774,142.0192,2.13162820728e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
41,18,69,300,200,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.920466566085,1,0.0204665660855,18,4.15855435713,0.693092392855,1,1,2,0.716658773302,False,False,False,False,3678.48147,1939.6774,142.0192,2.13162820728e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
42,18,905,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.911426916062,1,0.0114269160624,18,4.2650685685,0.710844761417,1,1,2,0.731966110596,False,False,False,False,3798.48147,1939.6774,142.0192,2.13162820728e-13,1.06581410364e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
43,19,6927,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.923975874081,1,0.023975874081,33,3.90084204105,0.650140340176,1,1,2,0.681717191539,False,False,False,False,3356.27041,1987.9682,42.2304,1.98951966013e-13,9.23705556488e-14,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
44,19,1,0,0,84.6084429378,0,150,37.5,187.5,True,187.5,187.5,1,True,0.920281821148,1,0.0202818211484,18,3.97387277663,0.662312129438,1,1,2,0.692509941322,False,False,False,False,3440.87885294,1987.9682,42.2304,2.55795384874e-13,9.23705556488e-14,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
45,19,8,0,0,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.917624482581,1,0.0176244825806,18,4.00455659564,0.667426099273,1,1,2,0.697024528833,False,False,False,False,3476.27041,1987.9682,42.2304,1.98951966013e-13,9.23705556488e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
46,19,1,0,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.907092357089,1,0.00709235708886,18,4.17935182674,0.69655863779,1,1,2,0.722536757657,False,False,False,False,3676.27041,1987.9682,42.2304,2.55795384874e-13,9.23705556488e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
47,19,3,300,0,0,43.7915220917,106.208477908,37.5,143.708477908,True,143.708477908,143.708477908,1,True,0.922789623593,1,0.0227896235926,33,4.16177016127,0.693628360212,1,1,2,0.719985534774,False,False,False,False,3656.27041,1987.9682,42.2304,1.98951966013e-13,9.23705556488e-14,1.11022302463e-16,0,0,0,143.708477908,187.5,True,YES
48,19,42,300,0,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.922789623593,1,0.0227896235926,33,4.16177016127,0.693628360212,1,1,2,0.719985534774,False,False,False,False,3656.27041,1987.9682,42.2304,1.98951966013e-13,9.23705556488e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
49,19,74,300,200,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.914978411643,1,0.0149784116434,18,4.33852959414,0.72308826569,1,1,2,0.745497763598,False,False,False,False,3856.27041,1987.9682,42.2304,1.98951966013e-13,9.23705556488e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
50,19,849,300,200,120,150,0,37.5,37.5,True,37.5,37.5,1,True,0.905883997991,1,0.00588399799057,18,4.44553078244,0.740921797074,1,1,2,0.760805100893,False,False,False,False,3976.27041,1987.9682,42.2304,2.55795384874e-13,9.23705556488e-14,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
51,20,6928,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.913816673115,1,0.0138166731148,33,4.42402000361,0.737336667269,1,1,2,0.772609864292,False,False,False,False,3812.50041,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
52,20,8,0,0,120,0,150,37.5,187.5,True,187.5,187.5,1,True,0.906231180925,1,0.00623118092517,18,4.52784199048,0.754640331747,1,1,2,0.787917201586,False,False,False,False,3932.50041,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
53,20,1,0,127.604823719,120,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.60631593385,0.767719322309,1,1,2,0.79941107599,True,False,False,False,4022.60523372,2244.2802,0,3.41060513165e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
54,20,3,0,200,69.589552668,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.62552716803,0.770921194672,1,1,2,0.802215473168,True,False,False,False,4044.58996267,2244.2802,0,7.16227077646e-12,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
55,20,17,300,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.912617217452,1,0.0126172174515,33,4.68502435835,0.780837393059,1,1,2,0.810878207528,False,False,False,False,4112.50041,2244.2802,0,3.2684965845e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
56,20,71,300,0,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.912617217452,1,0.0126172174515,33,4.68502435835,0.780837393059,1,1,2,0.810878207528,False,False,False,False,4112.50041,2244.2802,0,3.2684965845e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
57,20,5,300,104.806304142,120,150,0,37.5,37.5,True,2.78532752418e-12,37.5,7.42754006448e-14,False,0.9,1,0,18,4.85027127026,0.808378545043,1,1,2,0.834771213985,True,False,False,False,4299.80671414,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,2.78532752418e-12,150,False,NO
58,20,4,300,104.806304142,120,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.85027127026,0.808378545043,1,1,2,0.834771213985,True,False,False,False,4299.80671414,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
59,20,31,300,200,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.903551745072,1,0.00355174507236,18,4.86152788765,0.810254647941,1,1,2,0.836390436351,False,False,False,False,4312.50041,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
60,20,91,300,200,53.7144125081,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.87591690154,0.812652816923,1,1,2,0.838458765362,True,False,False,False,4328.71482251,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
61,20,292,300,200,53.7144125081,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.87591690154,0.812652816923,1,1,2,0.838458765362,True,False,False,False,4328.71482251,2244.2802,0,1.3073986338e-11,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
62,20,349,300,200,53.7144125081,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.87591690154,0.812652816923,1,1,2,0.838458765362,True,False,False,False,4328.71482251,2244.2802,0,1.3073986338e-11,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
63,20,93,300,200,53.7144125081,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.87591690154,0.812652816923,1,1,2,0.838458765362,True,False,False,False,4328.71482251,2244.2802,0,1.3073986338e-11,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
64,20,12,300,200,53.7144125081,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.87591690154,0.812652816923,1,1,2,0.838458765362,True,False,False,False,4328.71482251,2244.2802,0,1.3073986338e-11,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
65,21,6928,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.911763936027,1,0.0117639360269,33,4.52984616185,0.754974360308,1,1,2,0.791197996401,False,False,False,False,3902.5,2300,0,0,0,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
66,21,3,0,0,120,20.3786735323,129.621326468,37.5,167.121326468,True,167.121326468,167.121326468,1,True,0.904075919583,1,0.00407591958321,18,4.63362776343,0.772271293904,1,1,2,0.806505333695,False,False,False,False,4022.5,2300,0,0,0,1.11022302463e-16,0,0,0,167.121326468,187.5,True,YES
67,21,2,0,0,120,48.6847638436,101.315236156,37.5,138.815236156,True,138.815236156,138.815236156,1,True,0.904075919583,1,0.00407591958321,18,4.63362776343,0.772271293904,1,1,2,0.806505333695,False,False,False,False,4022.5,2300,0,0,0,1.11022302463e-16,0,0,0,138.815236156,187.5,True,YES
68,21,3,0,0,120,75.6674188952,74.3325811048,37.5,111.832581105,True,111.832581105,111.832581105,1,True,0.904075919583,1,0.00407591958321,18,4.63362776343,0.772271293904,1,1,2,0.806505333695,False,False,False,False,4022.5,2300,0,0,0,1.11022302463e-16,0,0,0,111.832581105,187.5,True,YES
69,21,3,0,200,41.315920353,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.70657310978,0.784428851631,1,1,2,0.81719698839,True,False,False,False,4106.31592035,2300,0,8.64019966684e-12,0,1.11022302463e-16,0,0,0,0,150,False,NO
70,21,1,218.893223356,70.3658445155,120,150,0,37.5,37.5,True,2.04636307899e-12,37.5,5.45696821064e-14,False,0.9,1,0,18,4.85379136133,0.808965226888,1,1,2,0.838620008435,True,False,False,False,4274.25906787,2300,0,8.18545231596e-12,0,1.11022302463e-16,0,0,0,2.04636307899e-12,150,False,NO
71,21,3,300,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.910561776359,1,0.0105617763587,33,4.79072084868,0.79845347478,1,1,2,0.829466339636,False,False,False,False,4202.5,2300,0,0,0,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
72,21,14,300,0,0,60.9344548861,89.0655451139,37.5,126.565545114,True,126.565545114,126.565545114,1,True,0.910561776359,1,0.0105617763587,33,4.79072084868,0.79845347478,1,1,2,0.829466339636,False,False,False,False,4202.5,2300,0,0,0,1.11022302463e-16,0,0,0,126.565545114,187.5,True,YES
73,21,67,300,0,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.910561776359,1,0.0105617763587,33,4.79072084868,0.79845347478,1,1,2,0.829466339636,False,False,False,False,4202.5,2300,0,0,0,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
74,21,4,300,64.2021297318,120,150,0,37.5,37.5,True,2.72848410532e-12,37.5,7.27595761418e-14,False,0.9,1,0,18,4.91991454857,0.819985758096,1,1,2,0.84817983115,True,False,False,False,4349.20212973,2300,0,4.09272615798e-12,0,1.11022302463e-16,0,0,0,2.72848410532e-12,150,False,NO
75,21,1,300,64.2021297318,120,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.91991454857,0.819985758096,1,1,2,0.84817983115,True,False,False,False,4349.20212973,2300,0,1.00044417195e-11,0,1.11022302463e-16,0,0,0,0,150,False,NO
76,21,35,300,200,0,150,0,37.5,37.5,True,37.5,37.5,1,True,0.90139007711,1,0.00139007711008,18,4.96709233355,0.827848722258,1,1,2,0.85497856846,False,False,False,False,4402.5,2300,0,0,0,1.11022302463e-16,0,0,0,37.5,187.5,True,YES
77,21,91,300,200,25.4407801931,150,0,37.5,37.5,True,3.41060513165e-12,37.5,9.09494701773e-14,False,0.9,1,0,18,4.95640698938,0.826067831563,1,1,2,0.853440280584,True,False,False,False,4390.44078019,2300,0,0,0,1.11022302463e-16,0,0,0,3.41060513165e-12,150,False,NO
78,21,292,300,200,25.4407801931,150,0,37.5,37.5,True,2.72848410532e-12,37.5,7.27595761418e-14,False,0.9,1,0,18,4.95640698938,0.826067831563,1,1,2,0.853440280584,True,False,False,False,4390.44078019,2300,0,1.42108547152e-14,0,1.11022302463e-16,0,0,0,2.72848410532e-12,150,False,NO
79,21,458,300,200,25.4407801931,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.95640698938,0.826067831563,1,1,2,0.853440280584,True,False,False,False,4390.44078019,2300,0,1.81898940355e-12,0,1.11022302463e-16,0,0,0,0,150,False,NO
80,22,6927,0,0,0,0,150,37.5,187.5,True,187.5,187.5,1,True,0.913816673115,1,0.0138166731148,33,4.42402000361,0.737336667269,1,1,2,0.772609864292,False,False,False,False,3812.50041,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,187.5,187.5,True,YES
81,22,1,0,200,69.589552668,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.62552716803,0.770921194672,1,1,2,0.802215473168,True,False,False,False,4044.58996267,2244.2802,0,7.16227077646e-12,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
82,22,1,76.9248715809,0,120,129.699343909,20.3006560911,37.5,57.8006560911,True,57.8006560911,57.8006560911,1,True,0.905921197146,1,0.00592119714623,18,4.59481062773,0.765801771288,1,1,2,0.797729826216,False,False,False,False,4009.42528158,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,57.8006560911,187.5,True,YES
83,22,3,84.8753861059,121.154713213,120,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.67495934255,0.779159890425,1,1,2,0.809415093874,True,False,False,False,4101.03050932,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
84,22,2,140.118568585,116.956503955,120,150,0,37.5,37.5,True,0,37.5,0,False,0.9,1,0,18,4.71980131243,0.786633552072,1,1,2,0.815926449059,True,False,False,False,4152.07548254,2244.2802,0,1.42108547152e-13,3.8369307731e-13,1.11022302463e-16,0,0,0,0,150,False,NO
