path_id,checkpoint_relative_hour,failure_type,arrival_stage,final_intensity,final_location,final_gap,tail_group,current_inventory_kg,target_total_kg,real_remaining_hour_count,expected_remaining_hour_count,nominal_extra_energy_kWh,nominal_extra_H2_kg,grid_hostable_extra_energy_kWh,grid_hostable_extra_H2_kg,required_extra_H2_kg,required_extra_electrical_energy_kWh,required_alpha,required_added_Pmax_kW,grid_supported_average_incremental_capability_kW,grid_aware_evaluator_margin_kg,recovery_margin_kg,full_increment_hostable_ratio_remaining,minimum_hourly_extra_headroom_kW,grid_clipped_hours,critical_bus,minimum_voltage_margin,hydrogen_side_recovered,grid_aware_identifiable,grid_aware_recovery_supported,cumulative_kg_cross_check_supported,classification
2052,-16,mixed,5,5,4,66.8006773112,difficult4,302.134475204,546.93138762,16,16,600,11.7,450,8.775,4.556912316,233.687811077,0.389479685128,14.6054881923,28.125,4.218087584,4.218087684,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
2103,-16,mixed,5,5,2,58.1179800353,difficult4,302.134475204,543.056863022,16,16,600,11.7,450,8.775,0.682387718,34.9942419487,0.0583237365812,2.1871401218,28.125,8.092612182,8.092612282,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
2435,-16,pure_quantity,5,5,4,94.5159721332,difficult4,302.134475204,546.93138762,16,16,600,11.7,450,8.775,4.556912316,233.687811077,0.389479685128,14.6054881923,28.125,4.218087584,4.218087684,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
2467,-16,mixed,5,5,3,86.7099746942,difficult4,302.134475204,552.327963649,16,16,600,11.7,562.5,10.96875,9.953488345,510.435299744,0.850725499573,31.902206234,35.15625,1.015261555,1.015261655,0.9375,0,1,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
2501,-16,mixed,6,4,2,50.4349409882,difficult4,151.533409272,395.525364721,16,16,600,11.7,600,11.7,3.751955349,192.407966615,0.320679944359,12.0254979135,37.5,7.948044551,7.948044651,1,37.5,0,18,0.00215974758658,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
3349,-16,pure_quantity,5,5,3,51.7498731097,difficult4,302.134475204,552.327963649,16,16,600,11.7,450,8.775,9.953488345,510.435299744,0.850725499573,31.902206234,28.125,-1.178488445,-1.178488345,0.75,0,4,18,0,YES,YES,NO,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT
4007,-16,pure_quantity,5,4,4,91.5661112779,difficult4,182.014475204,423.861526765,16,16,600,11.7,450,8.775,1.607051461,82.4128954359,0.137354825726,5.15080596474,28.125,7.167948439,7.167948539,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
4711,-16,mixed,5,5,3,29.631447778,difficult4,302.134475204,552.327963649,16,16,600,11.7,450,8.775,9.953488345,510.435299744,0.850725499573,31.902206234,28.125,-1.178488445,-1.178488345,0.75,0,4,18,0,YES,YES,NO,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT
4723,-16,pure_quantity,5,4,4,168.070694858,extreme1,182.014475204,423.861526765,16,16,600,11.7,600,11.7,1.607051461,82.4128954359,0.137354825726,5.15080596474,37.5,10.092948439,10.092948539,1,37.5,0,18,0.00215974758658,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
5685,-16,pure_quantity,5,4,4,91.5661112779,difficult4,182.014475204,423.861526765,16,16,600,11.7,450,8.775,1.607051461,82.4128954359,0.137354825726,5.15080596474,28.125,7.167948439,7.167948539,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
6098,-16,mixed,5,5,2,30.665857873,difficult4,302.134475204,543.056863022,16,16,600,11.7,450,8.775,0.682387718,34.9942419487,0.0583237365812,2.1871401218,28.125,8.092612182,8.092612282,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
6266,-16,mixed,5,5,4,42.1319777437,difficult4,302.134475204,546.93138762,16,16,600,11.7,450,8.775,4.556912316,233.687811077,0.389479685128,14.6054881923,28.125,4.218087584,4.218087684,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
6663,-16,mixed,5,5,2,88.1847364306,difficult4,302.134475204,543.056863022,16,16,600,11.7,450,8.775,0.682387718,34.9942419487,0.0583237365812,2.1871401218,28.125,8.092612182,8.092612282,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
7669,-16,mixed,5,5,4,41.0614092413,difficult4,302.134475204,546.93138762,16,16,600,11.7,450,8.775,4.556912316,233.687811077,0.389479685128,14.6054881923,28.125,4.218087584,4.218087684,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
7786,-16,mixed,5,5,3,67.7390173926,difficult4,302.134475204,552.327963649,16,16,600,11.7,450,8.775,9.953488345,510.435299744,0.850725499573,31.902206234,28.125,-1.178488445,-1.178488345,0.75,0,4,18,0,YES,YES,NO,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT
7862,-16,mixed,5,4,4,72.9173932171,difficult4,182.014475204,423.861526765,16,16,600,11.7,450,8.775,1.607051461,82.4128954359,0.137354825726,5.15080596474,28.125,7.167948439,7.167948539,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
8332,-16,pure_quantity,5,4,4,149.283117493,extreme1,182.014475204,423.861526765,16,16,600,11.7,600,11.7,1.607051461,82.4128954359,0.137354825726,5.15080596474,37.5,10.092948439,10.092948539,1,37.5,0,18,0.00215974758658,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
8716,-16,mixed,5,5,4,42.5638992717,difficult4,302.134475204,546.93138762,16,16,600,11.7,450,8.775,4.556912316,233.687811077,0.389479685128,14.6054881923,28.125,4.218087584,4.218087684,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
8747,-16,mixed,5,4,4,63.1664616747,difficult4,182.014475204,423.861526765,16,16,600,11.7,450,8.775,1.607051461,82.4128954359,0.137354825726,5.15080596474,28.125,7.167948439,7.167948539,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
9428,-16,pure_quantity,5,5,3,99.9125481619,extreme1,302.134475204,552.327963649,16,16,600,11.7,450,8.775,9.953488345,510.435299744,0.850725499573,31.902206234,28.125,-1.178488445,-1.178488345,0.75,0,4,18,0,YES,YES,NO,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT
9825,-16,mixed,5,5,2,54.7076288417,difficult4,302.134475204,543.056863022,16,16,600,11.7,450,8.775,0.682387718,34.9942419487,0.0583237365812,2.1871401218,28.125,8.092612182,8.092612282,0.75,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
783,-8,mixed,6,5,5,32.7616416645,difficult4,335.220415487,455.499334558,8,8,300,5.85,300,5.85,0.158918971,8.14969082051,0.0271656360684,1.01871135256,37.5,5.691080929,5.691081029,1,37.5,0,18,0.00866776765037,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
869,-8,mixed,5,4,1,50.3514616849,difficult4,254.111343625,374.764778406,8,8,300,5.85,300,5.85,0.533434681,27.3556246667,0.0911854155556,3.41945308333,37.5,5.316565219,5.316565319,1,37.5,0,18,0.00215974758658,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
1432,-8,mixed,4,4,4,44.0169071218,difficult4,302.134475204,423.861526765,8,8,300,5.85,150,2.925,1.607051461,82.4128954359,0.274709651453,10.3016119295,18.75,1.317948439,1.317948539,0.5,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
3269,-8,mixed,7,5,5,58.3914159486,difficult4,334.419629347,455.499334558,8,8,300,5.85,150,2.925,0.959705111,49.2156467179,0.164052155726,6.15195583974,18.75,1.965294789,1.965294889,0.5,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
3381,-8,mixed,5,4,1,64.9716701245,difficult4,251.186343625,374.764778406,8,8,300,5.85,300,5.85,3.458434681,177.355624667,0.591185415556,22.1694530833,37.5,2.391565219,2.391565319,1,37.5,0,18,0.00215974758658,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
3951,-8,pure_quantity,4,4,4,78.5279185717,difficult4,302.134475204,423.861526765,8,8,300,5.85,262.5,5.11875,1.607051461,82.4128954359,0.274709651453,10.3016119295,32.8125,3.511698439,3.511698539,0.875,1.04591890704e-11,1,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
3997,-8,mixed,4,4,4,44.3673461149,difficult4,302.134475204,423.861526765,8,8,300,5.85,150,2.925,1.607051461,82.4128954359,0.274709651453,10.3016119295,18.75,1.317948439,1.317948539,0.5,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
8440,-8,mixed,4,4,4,42.2401159909,difficult4,302.134475204,423.861526765,8,8,300,5.85,150,2.925,1.607051461,82.4128954359,0.274709651453,10.3016119295,18.75,1.317948439,1.317948539,0.5,0,4,18,0,YES,YES,YES,YES,PARTIALLY_CLIPPED_BUT_STILL_SUPPORTED
9955,-8,mixed,6,4,5,66.3337975202,difficult4,196.400831545,316.940731494,8,8,300,5.85,300,5.85,0.419899849,21.5333255897,0.0717777519658,2.69166569872,37.5,5.430100051,5.430100151,1,37.5,0,18,0.00866776765037,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
869,-4,mixed,5,4,1,50.3514616849,difficult4,314.171343625,374.764778406,4,4,150,2.925,150,2.925,0.533434681,27.3556246667,0.182370831111,6.83890616667,37.5,2.391565219,2.391565319,1,37.5,0,18,0.0181402688616,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
965,-4,mixed,6,5,4,61.8597733859,difficult4,483.953035862,546.93138762,4,4,150,2.925,150,2.925,2.918351658,149.659059385,0.997727062564,37.4147648462,37.5,0.00664824199998,0.00664834199991,1,37.5,0,18,0.00866776765037,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
1432,-4,mixed,4,4,4,44.0169071218,difficult4,360.901906248,423.861526765,4,4,150,2.925,5.00222085975e-12,9.75433067651e-14,2.899620417,148.698482923,0.991323219487,37.1746207308,1.25055521494e-12,-2.899620517,-2.899620417,0,0,4,18,0,YES,YES,NO,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT
1580,-4,mixed,4,4,3,24.61068681,difficult4,324.402726707,386.76593055,4,4,150,2.925,5.00222085975e-12,9.75433067651e-14,2.303203743,118.113012462,0.787420083077,29.5282531154,1.25055521494e-12,-2.303203843,-2.303203743,0,0,4,18,0,YES,YES,NO,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT
3997,-4,mixed,4,4,4,44.3673461149,difficult4,360.901906248,423.861526765,4,4,150,2.925,5.00222085975e-12,9.75433067651e-14,2.899620417,148.698482923,0.991323219487,37.1746207308,1.25055521494e-12,-2.899620517,-2.899620417,0,0,4,18,0,YES,YES,NO,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT
8384,-4,mixed,4,4,3,31.5594161696,difficult4,324.402726707,386.76593055,4,4,150,2.925,1.93267624127e-11,3.76871867047e-13,2.303203743,118.113012462,0.787420083077,29.5282531154,4.83169060317e-12,-2.303203843,-2.303203743,0,0,4,18,0,YES,YES,NO,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT
8440,-4,mixed,4,4,4,42.2401159909,difficult4,360.901906248,423.861526765,4,4,150,2.925,1.04591890704e-11,2.03954186873e-13,2.899620417,148.698482923,0.991323219487,37.1746207308,2.6147972676e-12,-2.899620517,-2.899620417,0,0,4,18,0,YES,YES,NO,NO,GRID_CLIPPING_REMOVES_RECOVERY_SUPPORT
9334,-4,pure_quantity,5,4,3,26.1817912012,difficult4,323.849042681,386.76593055,4,4,150,2.925,150,2.925,2.856887769,146.507065077,0.976713767179,36.6267662692,37.5,0.068112131,0.068112231,1,37.5,0,18,0.0181402688616,YES,YES,YES,YES,FULL_INCREMENT_HOSTABLE_AND_SUPPORTED
