"version_id","version_name","6h_aggregate","8h_stage","hourly_IEEE33","hourly_H2_demand","hourly_HTT","original_hourly_demand","Stage7_TerminalLOH","Stage88_TerminalLOH","Site4_CAP200","Pearson_DRO","checkpoint_save","clean_process_reload","OOS","multi_initial_loc_OOS","current_candidate"
"M21","Stage85G hourly HTT","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","NO","NO","NO","NO","NO"
"M22","Stage85H pilot","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","PARTIAL","YES","NO","NO"
"M23","Stage85H-A checkpoint fix","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","YES","YES","PARTIAL","NO","NO"
"M25","Stage85I block-uniform demand","NO","YES","YES","YES","YES","NO","YES","NO","NO","YES","PARTIAL","PARTIAL","PARTIAL","NO","NO"
"M27","Stage85K original demand","NO","YES","YES","YES","YES","YES","YES","NO","NO","YES","NO","NO","NO","NO","NO"
"M28","Stage85L DRO pilot","NO","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","YES","YES","NO","NO"
"M34","Stage85R P150-P200 formal","NO","YES","YES","YES","YES","YES","YES","NO","NO","YES","YES","YES","YES","NO","NO"
"W13","Stage87B W kernel","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NO","NO","NO","N/A","N/A","N/A","N/A","NO"
"W14","Stage87C-A W bank","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NO","NO","NO","N/A","N/A","N/A","N/A","NO"
"W19","Stage87D-B H2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","NO","NO","NO","N/A","N/A","N/A","N/A","NO"
"W21","Stage88A CAP150 SAA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","YES","NO","NO","N/A","N/A","N/A","N/A","NO"
"W22","Stage88A CAP150 DRO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","YES","NO","YES","N/A","N/A","N/A","N/A","NO"
"W23","Stage88A CAP200 SAA","N/A","N/A","N/A","N/A","N/A","N/A","N/A","YES","YES","NO","N/A","N/A","N/A","N/A","NO"
"W24","Stage88A CAP200 DRO","N/A","N/A","N/A","N/A","N/A","N/A","N/A","YES","YES","YES","N/A","N/A","N/A","N/A","YES"
"I02","Stage89B bridge","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","PARTIAL","YES","YES","YES","YES","NO","NO","NO","NO","NO"
"I03","Stage89C legacy-6h run","YES","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","PARTIAL","YES","YES","NO"
"I04","Stage89D penalty1500","YES","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","PARTIAL","YES","YES","NO"
"I05","Stage89D penalty1000","YES","NO","NO","NO","NO","NO","YES","YES","YES","YES","YES","PARTIAL","YES","YES","NO"
"I07","Stage89F current model","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","NO","NO","NO","YES"
"I08","Stage89G run-001 failures","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","PARTIAL","PARTIAL","NO"
"I09","Stage89G run-002 candidate","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES"
"I10","Stage89H single-loc4 gap1000","NO","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","YES","NO","YES"
"D01","W outage/reconfiguration diagnostic","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO"
"D02","Five-point reconfiguration hardening preview","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO"
"D03","Topology-based H2 island diagnostic","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO"
"D04","Topology-based H2 dual-channel minimal-model freeze","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO"
"I11","Stage89I dual-channel W support-expansion audit","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","NO","NO","NO","NO","NO"
"I12","Stage89J formal dual-channel W candidate bank","NO","NO","NO","NO","NO","NO","NO","YES","YES","NO","NO","NO","NO","NO","YES"
"I13","Stage89K formal dual-channel TerminalLOH candidate","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","YES","NO","NO","NO","YES"
"I14","Stage89L H2 island incremental ablation","NO","NO","NO","NO","NO","NO","NO","YES","YES","YES","YES","NO","NO","NO","NO"
