"version_id","version_name","category","approx_date","parent_version","parent_confidence","based_on_evidence","purpose","problem_being_solved","main_changes","model_structure_change","parameter_change","data_change","runner_change","checkpoint_change","oos_change","terminal_loh_change","capacity_change","key_functions_added","key_files","input_source","output_path","key_result","status","accepted_or_not","superseded_by","still_reusable_parts","current_relevance","evidence_paths","notes"
"W10","Stage53 35-state SAA vs eta003 TerminalLOH","TERMINAL_LOH_DATA","2026-08-08","W08;W09","HIGH","git commit eb83882 and results","create FA-MSP lookup tables","need all-state SAA/DRO targets","generated 35x4 SAA and eta=.03 tables","NO","YES eta=.03","YES 35-state tables","YES finalizer","N/A","N/A","YES lookup tables","NO","table generators","results/53-35state-saa-vs-eta003-terminal-loh","historical W support","results/task-002-stage2b-b3-smoke/53-35state-saa-vs-eta003-terminal-loh","legacy lookup mainline","SUPERSEDED","YES historically","W24","loader/table format","legacy only","git log; results/53-35state-saa-vs-eta003-terminal-loh/run-024/README.md","Replaced by Stage88 CAP200"
"M00","legacy aggregate FA-MSP 6h","MSP_MODEL","pre-2026-08","UNCERTAIN","MEDIUM","main launcher chain and longtask","baseline near-stage optimization","initial H2 MSP","aggregate stage model with 4D inventory","YES aggregate","YES dt defaults","YES 6h block data","YES legacy main","YES legacy checkpoints","YES legacy eval","YES Stage7 lookup","YES legacy capacities","main_msp_h2_near; load_data; define_models; train","main_msp_h2_near.m; fa_h2/","NearStageInput","output and legacy results","established base MSP","HISTORICAL","YES historically","I07","core FA-MSP concepts","legacy only","main_msp_h2_near.m; codex_rule/longtask.md; codex_rule/log.md","Default entry is not current Stage88 model"
"M01","Stage55 native main smoke","MSP_SMOKE","2026-08-08","M00;W10","HIGH","git commit afcdd44","prove safe native execution","integration risk","isolated one-hour/fixed-budget smoke","NO","NO","NO","YES smoke wrapper","NO","NO","YES Stage53 load","NO","stage55 smoke launcher","results/55-main-msp-native-smoke","legacy + Stage53","results/task-002-stage2b-b3-smoke/55-main-msp-native-smoke","native smoke passed","SMOKE_ONLY","YES smoke","M02","safe launcher pattern","historical","git log; results/55-main-msp-native-smoke/run-001/README.md","No convergence claim"
"M02","Stage56 dual TerminalLOH smoke","MSP_INTERFACE","2026-08-08","M01;W10","HIGH","git commit 06f1086","wire SAA and DRO lookup","TerminalLOH interface integration","dual lookup loader smoke","NO","YES method switch","YES dual tables","YES runner","NO","NO","YES Stage53 SAA/DRO","NO","lookup loader","results/56-main-msp-dual-terminal-loh-smoke","Stage53 tables","results/task-002-stage2b-b3-smoke/56-main-msp-dual-terminal-loh-smoke","both lookup modes passed","SMOKE_ONLY","YES interface","M03","loader interface","legacy only","git log; results/56-main-msp-dual-terminal-loh-smoke/run-001/README.md","Stage88 later uses stricter loader"
"M03","Stage57 fixed-budget Stage53 A-B","TRAINING_RUNNER","2026-08-09","M02","HIGH","result README and log","compare SAA/DRO training","need policy comparison","fixed one-hour budget per arm","NO","NO","NO","YES training runner","YES checkpoints","YES evaluation","NO","NO","training wrapper","results/57-main-msp-converged-terminal-loh-ab","Stage53 lookup","results/task-002-stage2b-b3-smoke/57-main-msp-converged-terminal-loh-ab","completed but not convergence-certified","HISTORICAL","NO formal","M10","fixed-budget pattern","do not treat as converged","results/57-main-msp-converged-terminal-loh-ab/run-003/README.md; codex_rule/log.md","DOCUMENTATION_CODE_MISMATCH: directory name converged vs stop flag"
"M04","Stage71 8h capacity sensitivity","PARAMETER_SENSITIVITY","2026-08-12","M03","MEDIUM","git commit ed0fec4 and README","test duration/effective capacity","6h may constrain production","dt and effective capacity sweep","NO","YES 6h/8h","NO","YES sensitivity runner","NO","NO","NO","YES effective capacity","stage duration audit","results/71-stage-duration-capacity-sensitivity","legacy model","results/task-002-stage2b-b3-smoke/71-stage-duration-capacity-sensitivity","showed 8h effect","SENSITIVITY_ONLY","NO","I07","duration evidence","historical parameter evidence","git log; results/71-stage-duration-capacity-sensitivity/run-001/cross_analysis/run-001/README.md","Did not change main"
"M05","Stage73 HTT cost sensitivity","PARAMETER_SENSITIVITY","2026-08-13","M03","MEDIUM","git commit c185a35","test transport economics","HTT behavior unclear","transport cost sweep","NO","YES HTT cost","NO","YES audit","NO","NO","NO","NO","HTT audit","results/73-htt-transport-cost-sensitivity","legacy HTT","results/task-002-stage2b-b3-smoke/73-htt-transport-cost-sensitivity","quantified HTT sensitivity","SENSITIVITY_ONLY","NO","M21","HTT evidence","historical parameter evidence","git log; results/73-htt-transport-cost-sensitivity","Not hourly HTT"
"M06","Stage79 hourly grid 0.95-1.05","MSP_MODEL_SMOKE","2026-08-13","M00","HIGH","git commit 15a47f7 and README","add IEEE33 hourly coupling","aggregate grid lacks hourly physics","8 hourly LinDistFlow slots with tight voltage","YES hourly IEEE33","YES voltage range","YES grid mapping","YES smoke","NO","NO","NO","NO","hourly grid builders","hourly_grid_h2; results/79-hourly-grid-lindistflow-smoke","legacy MSP + IEEE33","results/task-002-stage2b-b3-smoke/79-hourly-grid-lindistflow-smoke","infeasible under tight band","FAILED","NO","M07","hourly grid code","structural ancestor","git log; results/79-hourly-grid-lindistflow-smoke/README.md","Failure parameter-specific"
"M07","Stage80 hourly grid 0.90-1.10","MSP_MODEL","2026-08-13","M06","HIGH","same commit lineage and README","restore feasible hourly grid","Stage79 voltage infeasibility","widened voltage range","NO structure relative M06","YES voltage 0.90-1.10","NO","YES smoke","NO","NO","NO","NO","hourly grid builders","results/80-hourly-grid-voltage-range-smoke","Stage79 model","results/task-002-stage2b-b3-smoke/80-hourly-grid-voltage-range-smoke","hourly grid smoke passed","ACCEPTED","YES structure","NONE","hourly IEEE33","current model ancestor","results/80-hourly-grid-voltage-range-smoke/README.md; git log","Current bundle keeps 0.90-1.10"
"M08","Stage81 hourly short training","TRAINING_CHECKPOINT","2026-08-13","M07","HIGH","git commit f84fa28 and log","test training/checkpoint","hourly policy persistence","short training plus wrapper diagnostics","PARTIAL","NO","NO","YES","YES checkpoint wrapper","YES diagnostics","INCORRECT terminal path initially","NO","Stage81 runner","results/81-hourly-grid-short-training","Stage80","results/task-002-stage2b-b3-smoke/81-hourly-grid-short-training","exposed Stage7/8 and diagnostic issues","FAILED","NO","M09","checkpoint wrapper fragments","bug provenance","git log; codex_rule/log.md; results/81-hourly-grid-short-training","Model semantics failure fixed next"
"M09","Stage82 terminal semantics fix","MSP_MODEL_FIX","2026-08-13","M08","HIGH","git commit db3c55a and README","fix Stage7/8 regression","terminal stages incorrectly hourly","limit operating model to Stage1-6; analytic Stage7; absorbing Stage8","YES terminal structure","NO","NO","YES dispatch fix","NO","NO","YES corrected","NO","dispatch/builders","results/82-hourly-grid-terminal-semantics-fix","Stage81","results/task-002-stage2b-b3-smoke/82-hourly-grid-terminal-semantics-fix","terminal semantics restored","ACCEPTED","YES","NONE","Stage7/8 dispatch","current model ancestor","git log; results/82-hourly-grid-terminal-semantics-fix/README.md","Major regression fix"
"M10","Stage84 formal hourly-grid training OOS","TRAINING_OOS","2026-08-13","M07;M09","HIGH","git commits ea7ed91/cd70843","formalize training and OOS","smoke not enough","formal launcher training checkpoint OOS","NO relative structure","NO","YES OOS banks","YES formal runner","YES","YES","NO","NO","Stage84 launchers","results/84-hourly-grid-formal-training-oos","Stage80+82","results/task-002-stage2b-b3-smoke/84-hourly-grid-formal-training-oos","formal hourly-grid workflow","ACCEPTED","YES historical","M22","runner groundwork","historical runner ancestor","git log; codex_rule/log.md","H2 and HTT still stage-level"
"M11","Stage84A OOS hourly schema fix","OOS_FIX","2026-08-14","M10","HIGH","git commit 4935f22","preserve typed empty responses","OOS schema mismatch","typed-empty schema repair","NO","NO","NO","YES","NO","YES schema","NO","NO","schema helper","results/84A-oos-hourly-schema-fix","Stage84 checkpoint","results/task-002-stage2b-b3-smoke/84A-oos-hourly-schema-fix","OOS schema pass","ACCEPTED","YES","NONE","schema pattern","bug registry","git log; codex_rule/log.md","Engineering fix only"
"M12","Stage84B common-path OOS","OOS_RUNNER","2026-08-14","M10;M11","HIGH","git commit c63c3fc","paired policy comparison","independent paths confound comparison","full common-path OOS and paired analysis","NO","NO","YES common bank","YES","NO","YES paired OOS","NO","NO","OOS runner","results/84B-full-common-oos-paired-analysis","Stage84 policies","results/task-002-stage2b-b3-smoke/84B-full-common-oos-paired-analysis","common-path analysis complete","ACCEPTED","YES historical","M34","common-path design","runner ancestor","git log; results/84B-full-common-oos-paired-analysis/run-001/README.md","Stage85R uses new bank implementation"
"M13","Stage84C-E mechanism and figures","MSP_DIAGNOSTIC","2026-08-14","M12","HIGH","git commit db532c4 and results","explain OOS mechanisms","formal results need interpretation","deep mechanism/common path/figures","NO","NO","NO","YES analysis","NO","NO","NO","NO","analysis scripts","results/84C-84E*","Stage84B outputs","results/task-002-stage2b-b3-smoke/84C-deep-oos-mechanism-analysis","mechanism evidence","DIAGNOSTIC_ONLY","YES evidence","NONE","analysis methods","historical explanation","git log; results/84C-deep-oos-mechanism-analysis/run-001/README.md","84D/E grouped"
"M14","Stage85A hourly H2 model audit","MSP_DIAGNOSTIC","2026-08-15","M10","HIGH","README and log","audit time scales","hourly grid mislabeled full hourly model","traced P_EL demand inventory HTT and 6h metadata","NO","NO","NO","YES audit","NO","NO","NO","NO","audit script","results/85A-hourly-h2-model-audit","Stage84 model","results/task-002-stage2b-b3-smoke/85A-hourly-h2-model-audit","found H2 and HTT stage-level","DIAGNOSTIC_ONLY","YES conclusion","M15;M21","time-scale audit","current ancestry evidence","results/85A-hourly-h2-model-audit/run-001/README.md; codex_rule/log.md","Key mixed-scale diagnosis"
"M15","Stage85B hourly H2 minimal implementation","MSP_MODEL","2026-08-15","M14;M09","HIGH","README launcher chain log","make H2 hourly","H2 stage aggregation","hourly production service inventory with 4D state","YES hourly H2","NO","YES stage-total divided by 8","YES builders","NO","NO","NO","NO","build_integrated_hourly_stage_model_h2","hourly_grid_h2; results/85B-hourly-h2-minimal-implementation","Stage84 data","results/task-002-stage2b-b3-smoke/85B-hourly-h2-minimal-implementation","hourly H2 structure passed","ACCEPTED","YES structure","NONE","hourly H2 builder","current model ancestor","results/85B-hourly-h2-minimal-implementation/run-001/README.md; codex_rule/log.md","Demand mapping later superseded"
"M16","Stage85C representative path smoke","MSP_SMOKE","2026-08-15","M15","HIGH","result README","validate hourly H2 path","new model feasibility","representative path solve","NO","NO","NO","YES smoke","NO","NO","NO","NO","smoke runner","results/85C-hourly-h2-representative-path-smoke","Stage85B","results/task-002-stage2b-b3-smoke/85C-hourly-h2-representative-path-smoke","path smoke passed","SMOKE_ONLY","YES smoke","NONE","test pattern","validation only","results/85C-hourly-h2-representative-path-smoke/run-001/README.md","No training"
"M17","Stage85D hourly H2 batch stress","MSP_SMOKE","2026-08-15","M15","HIGH","result README","stress test model","single path insufficient","batch solve stress","NO","NO","NO","YES batch runner","NO","NO","NO","NO","stress runner","results/85D-hourly-h2-batch-stress","Stage85B","results/task-002-stage2b-b3-smoke/85D-hourly-h2-batch-stress","batch stability evidence","SMOKE_ONLY","YES smoke","NONE","stress checks","validation only","results/85D-hourly-h2-batch-stress/run-001/README.md","No lineage promotion"
"M18","Stage85E hourly H2 training pilot","TRAINING_RUNNER","2026-08-15","M15","HIGH","result README and log","pilot train hourly H2","need training telemetry","logging and pilot driver","NO","NO","NO","YES","YES","YES diagnostic","NO","NO","training pilot","results/85E-hourly-h2-training-pilot","Stage85B","results/task-002-stage2b-b3-smoke/85E-hourly-h2-training-pilot","exposed eager LB access bug","HISTORICAL","NO","M19;M22","logging ideas","bug provenance","results/85E-hourly-h2-training-pilot/run-002/README.md; codex_rule/log.md","Model not root cause"
"M19","Stage85E-A pilot driver fix","RUNNER_FIX","2026-08-15","M18","HIGH","README and log","repair pilot driver","eager LB(0) access","initialize/access LB safely","NO","NO","NO","YES","NO","NO","NO","NO","pilot driver fix","results/85E-A-pilot-driver-fix","Stage85E","results/task-002-stage2b-b3-smoke/85E-A-pilot-driver-fix","driver regression fixed","ACCEPTED","YES engineering","NONE","driver fix","problem registry","results/85E-A-pilot-driver-fix/run-001/README.md","No model change"
"M20","Stage85F HTT cost audit","MSP_DIAGNOSTIC","2026-08-15","M15","MEDIUM","README and log","audit HTT behavior","transport timing/cost unclear","source and cost audit","NO","NO","NO","YES audit","NO","NO","NO","NO","HTT audit","results/85F-htt-cost-audit","Stage85B","results/task-002-stage2b-b3-smoke/85F-htt-cost-audit","supported hourly HTT design","DIAGNOSTIC_ONLY","YES conclusion","M21","HTT evidence","current ancestry","results/85F-htt-cost-audit/run-001/README.md","No model change"
"M21","Stage85G hourly HTT minimal implementation","MSP_MODEL","2026-08-15","M15;M20","HIGH","README source chain log","make HTT hourly","stage-level transport","hourly flows and end-of-hour arrival","YES hourly HTT","YES 1h timing","NO","YES builders","NO","NO","NO","NO","hourly HTT builder/update","results/85G-hourly-htt-minimal-implementation; hourly_grid_h2","Stage85B","results/task-002-stage2b-b3-smoke/85G-hourly-htt-minimal-implementation","hourly HTT structure passed","ACCEPTED","YES structure","NONE","hourly HTT","current model ancestor","results/85G-hourly-htt-minimal-implementation/run-001/README.md; codex_rule/log.md","4D interstage state retained"
"M22","Stage85H hourly HTT training pilot","TRAINING_CHECKPOINT_OOS","2026-08-15","M21;M10","HIGH","source markers README log","train full hourly H2-HTT","need checkpointed policy diagnostics","fresh SAA/DRO smoke and 10iter pilots plus diagnostic","NO","NO","NO","YES new staged runner","YES safe save and reload attempt","YES 80-path diagnostic","NO","NO","run_stage85h_hourly_htt_training_pilot_h2","hourly_grid_h2/run_stage85h_hourly_htt_training_pilot_h2.m","Stage85G model","results/task-002-stage2b-b3-smoke/85H-hourly-htt-training-pilot","training worked; same-process reload OOM; finalizer defect","HISTORICAL","PARTIAL","M23;M24","training/checkpoint schema","checkpoint ancestor","source; results/85H-hourly-htt-training-pilot/run-003/README.md; log","Failed runs separated from model validity"
"M23","Stage85H-A clean-process reload fix","CHECKPOINT_FIX","2026-08-15","M22","HIGH","source lines 553-557 reload audit orchestrator README","remove reload memory peak","same-process compressed-to-28.5GB load OOM","save-exit-clean-process single load and gates","NO","NO","NO","YES phase orchestrator","YES clean reload","YES gated diagnostics","NO","NO","run_stage85h_a_checkpoint_reload_audit_h2","hourly_grid_h2/run_stage85h_a_checkpoint_reload_audit_h2.m; orchestrate_stage85h_hourly_htt_training_pilot.ps1","Stage85H checkpoint","results/85H-A-checkpoint-reload-fix","clean reload about 40.096s and PASS","ACCEPTED","YES","NONE","checkpoint mechanism","current checkpoint ancestor","source files; results/85H-A-checkpoint-reload-fix/run-001/README.md; log","No model/schema/training change"
"M24","Stage85H-B finalizer schema recovery","RECOVERY","2026-08-15","M22","HIGH","README and source lineage markers","recover completed run","finalizer schema failed after science","report-only recovery","NO","NO","NO","YES recovery finalizer","NO reload","NO rerun","NO","NO","run_stage85h_b_finalization_recovery_h2","hourly_grid_h2; results/85H-B-finalizer-schema-fix","Stage85H run-002 artifacts","results/task-002-stage2b-b3-smoke/85H-B-finalizer-schema-fix","recovered 10iter 10510-cut report","RECOVERY_ONLY","YES recovery","NONE","finalizer recovery pattern","historical bug fix","results/85H-B-finalizer-schema-fix/run-001/README.md; log","No checkpoint mutation"
"M25","Stage85I block-uniform hourly demand","MSP_DATA_MODEL","2026-08-16","M21","HIGH","README and log","remap demand hourly","stage blocks fed hourly model","divide each block uniformly","YES demand mapping","NO","YES block-uniform","YES mapper","NO","NO","NO","NO","demand mapper","results/85I-hourly-demand-remap","6h stage_template","results/task-002-stage2b-b3-smoke/85I-hourly-demand-remap","hourly but not original profile","SUPERSEDED","NO","M27","mapper tests","do not use current","results/85I-hourly-demand-remap/run-001/README.md; log","Superseded by original hourly data"
"M26","Stage85J hourly demand source audit","DATA_DIAGNOSTIC","2026-08-16","M25","HIGH","README and log","trace demand provenance","original hourly values lost in blocks","proved hourly_kg to 6h stage_template chain","NO","NO","NO","YES audit","NO","NO","NO","NO","source audit","results/85J-hourly-demand-source-audit","NearStageInput metadata","results/task-002-stage2b-b3-smoke/85J-hourly-demand-source-audit","generation script unavailable; source chain identified","DIAGNOSTIC_ONLY","YES conclusion","M27","provenance evidence","current data ancestor","results/85J-hourly-demand-source-audit/run-001/README.md; log","Supports metadata distinction"
"M27","Stage85K original hourly demand integration","MSP_DATA_MODEL","2026-08-16","M21;M26","HIGH","README source paths log","use original demand","block-uniform loses shape","direct hourly_kg 24h repeated to 48h","YES demand semantics","NO","YES original-hourly","YES mapper/loader","NO","NO","NO","NO","map_normal_demand_48h_h2","results/85K-original-hourly-demand-integration; hourly_grid_h2","original hourly_kg","results/task-002-stage2b-b3-smoke/85K-original-hourly-demand-integration","complete original-hourly model","ACCEPTED","YES","NONE","original demand mapper","current model ancestor","results/85K-original-hourly-demand-integration/run-001/README.md; log","Active demand schema ancestor"
"M28","Stage85L DRO hourly demand HTT pilot","TRAINING_CHECKPOINT","2026-08-16","M27;M23","HIGH","source README log","train complete hourly model","need fragmentation evidence","DRO 10iter plus 1000 diagnostics and checkpoint reload","NO","NO","NO","YES","YES","YES","NO","NO","Stage85L runner","results/85L-dro-hourly-demand-htt-fragmentation","Stage85K model","results/task-002-stage2b-b3-smoke/85L-dro-hourly-demand-htt-fragmentation","science complete; finalizer index bug","HISTORICAL","PARTIAL","M29;M34","pilot/checkpoint patterns","runner evidence","results/85L-dro-hourly-demand-htt-fragmentation/run-002/README.md; log","run-001 finalizer failed"
"M29","Stage85L-A active-index finalizer fix","RECOVERY","2026-08-16","M28","HIGH","README and log","recover final report","numeric active index schema bug","report/finalizer-only fix","NO","NO","NO","YES recovery","NO","NO rerun","NO","NO","finalizer recovery","results/85L-A-finalizer-active-fix","Stage85L completed artifacts","results/task-002-stage2b-b3-smoke/85L-A-finalizer-active-fix","final report recovered","RECOVERY_ONLY","YES recovery","NONE","finalizer guard","problem registry","results/85L-A-finalizer-active-fix/run-001/README.md; log","No training"
"M30","Stage85N shortage100 c0-5 diagnostic","PARAMETER_DIAGNOSTIC","2026-08-16","M28","MEDIUM","result README and log","test economic mechanism","early production/fragmentation unclear","shortage=100 c0=5 diagnostic","NO","YES penalties/c0","NO","YES diagnostic","NO","YES small eval","NO","NO","diagnostic runner","results/85N-shortage100-htt-c0-5-diagnostic","Stage85K model","results/task-002-stage2b-b3-smoke/85N-shortage100-htt-c0-5-diagnostic","parameter mechanism evidence","DIAGNOSTIC_ONLY","NO mainline","M34","economic clues","sensitivity only","results/85N-shortage100-htt-c0-5-diagnostic/run-001/README.md","Not adopted"
"M31","Stage85O economic calibration pilot","PARAMETER_SENSITIVITY","2026-08-16","M30","MEDIUM","result README and log","calibrate incentives","policy behavior poorly separated","fresh short parameter pilots","NO","YES c0/cd/penalties","NO","YES","YES fresh","YES short","NO","NO","calibration runner","results/85O-economic-calibration-fresh-short-pilot","Stage85K model","results/task-002-stage2b-b3-smoke/85O-economic-calibration-fresh-short-pilot","narrowed candidates","SENSITIVITY_ONLY","NO","M32;M34","parameter evidence","sensitivity only","results/85O-economic-calibration-fresh-short-pilot/run-004/README.md","No formal adoption"
"M32","Stage85P shortage150 pilot","PARAMETER_SENSITIVITY","2026-08-16","M31","HIGH","README and log","test P150","compare shortage penalty","fresh P150 short pilot","NO","YES shortage=150","NO","YES","YES","YES","NO","NO","P150 pilot","results/85P-shortage150-c0-5-fresh-short-pilot","Stage85K model","results/task-002-stage2b-b3-smoke/85P-shortage150-c0-5-fresh-short-pilot","P150 candidate established","SENSITIVITY_ONLY","NO","M34","P150 config","formal comparison input","results/85P-shortage150-c0-5-fresh-short-pilot/run-002/README.md","Not current parameter"
"M33","Stage85Q P150 fragmentation diagnostic","PARAMETER_DIAGNOSTIC","2026-08-16","M32","HIGH","README and source references","explain P150 behavior","fragmentation mechanism unclear","targeted P150 diagnostic","NO","NO","NO","YES","NO","YES diagnostic","NO","NO","fragmentation analysis","results/85Q-p150-fragmentation-mechanism-diagnostic","Stage85P outputs","results/task-002-stage2b-b3-smoke/85Q-p150-fragmentation-mechanism-diagnostic","mechanism evidence for formal A-B","DIAGNOSTIC_ONLY","YES evidence","M34","diagnostic design","formal comparison provenance","results/85Q-p150-fragmentation-mechanism-diagnostic/run-001/README.md","No model change"
"M34","Stage85R P150-P200 5h training 10k OOS","TRAINING_CHECKPOINT_OOS","2026-08-17","M27;M23;M30;M31;M32;M33","HIGH","runner source orchestrator README log","formal parameter comparison","short pilots insufficient","fresh serial 5h arms clean audits new common 10k bank paired OOS","NO","YES P150/P200 c0=5 cd=.2","YES new 10k bank","YES dedicated runner","YES per-arm checkpoint","YES paired common-bank 10k","YES Stage53 eta003 historical table","NO","run_stage85r_dro_p150_p200_5h_10k_h2","hourly_grid_h2/run_stage85r_dro_p150_p200_5h_10k_h2.m; orchestrate_stage85r_dro_p150_p200_5h_10k.ps1","Stage85K model and Stage53 table","results/task-002-stage2b-b3-smoke/85R-dro-p150-p200-5h-training-10k-oos","P200 supported by 5h 10k OOS","ACCEPTED","YES","NONE","formal runner/OOS engineering","primary historical runner mother","source; results/85R.../run-005/README.md; log","Uses pre-Stage88 TerminalLOH; native heap/finalizer recovery recorded"
"M35","Stage85S-T P200 figures","PRESENTATION_DIAGNOSTIC","2026-08-17","M34","HIGH","result paths and README","visualize accepted P200","need representative paths","paper and multipath figures","NO","NO","NO","YES analysis","NO","NO","NO","NO","figure scripts","results/85S*; results/85T*","Stage85R P200","results/task-002-stage2b-b3-smoke/85S*;85T*","figure evidence","DIAGNOSTIC_ONLY","YES evidence","NONE","plotting tools","explanation only","result READMEs","Grouped because no policy lineage change"
